Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2010;2011;2012;2013;2014
Slovenia;Albania;Import;Animal;Import (US$ Thousand);;;;0,23;0,755
Slovenia;Algeria;Import;Animal;Import (US$ Thousand);0,288;;;;
Slovenia;American Samoa;Import;Animal;Import (US$ Thousand);;13,949;;13,322;0,022
Slovenia;Anguila;Import;Animal;Import (US$ Thousand);;;1,111;;
Slovenia;Antigua and Barbuda;Import;Animal;Import (US$ Thousand);;;0,159;0,866;
Slovenia;Argentina;Import;Animal;Import (US$ Thousand);2580,175;2964,748;2205,778;2242,752;3083,741
Slovenia;Armenia;Import;Animal;Import (US$ Thousand);0,615;0,907;0,479;0,261;4,38
Slovenia;Australia;Import;Animal;Import (US$ Thousand);604,202;551,894;467,642;222,578;333,685
Slovenia;Austria;Import;Animal;Import (US$ Thousand);111086,361;111881,952;115591,962;137429,98;130493,527
Slovenia;Bahamas, The;Import;Animal;Import (US$ Thousand);;;0,818;0,561;1,716
Slovenia;Bangladesh;Import;Animal;Import (US$ Thousand);27,298;25,815;28,828;44,363;47,976
Slovenia;Barbados;Import;Animal;Import (US$ Thousand);;;1,607;;
Slovenia;Belarus;Import;Animal;Import (US$ Thousand);;;;;0,806
Slovenia;Belgium;Import;Animal;Import (US$ Thousand);11780,491;13782,988;17290,53;17156,655;13984,19
Slovenia;Belize;Import;Animal;Import (US$ Thousand);8,385;1,35;0,08;11,397;55,301
Slovenia;Bermuda;Import;Animal;Import (US$ Thousand);;;;;0,021
Slovenia;Bosnia and Herzegovina;Import;Animal;Import (US$ Thousand);369,036;863,149;2194,896;1714,377;756,875
Slovenia;Brazil;Import;Animal;Import (US$ Thousand);349,094;1143,38;742,009;2126,76;2924,86
Slovenia;British Indian Ocean Ter.;Import;Animal;Import (US$ Thousand);;84,978;8,965;0,718;
Slovenia;Bulgaria;Import;Animal;Import (US$ Thousand);600,533;567,339;924,124;564,922;396,181
Slovenia;Burundi;Import;Animal;Import (US$ Thousand);;;0,008;;
Slovenia;Cameroon;Import;Animal;Import (US$ Thousand);;;0,124;;
Slovenia;Canada;Import;Animal;Import (US$ Thousand);67,579;65,955;42,776;133,17;122,841
Slovenia;Chile;Import;Animal;Import (US$ Thousand);565,844;787,324;470,146;674,896;529,944
Slovenia;China;Import;Animal;Import (US$ Thousand);1608,839;2263,025;1962,927;1857,84;2547,506
Slovenia;Colombia;Import;Animal;Import (US$ Thousand);8,71;13,64;11,837;2,568;0,007
Slovenia;Congo, Rep.;Import;Animal;Import (US$ Thousand);;;;;1,347
Slovenia;Cote d'Ivoire;Import;Animal;Import (US$ Thousand);16,62;0,796;;;0,467
Slovenia;Croatia;Import;Animal;Import (US$ Thousand);10745,495;13639,886;12380,945;18900,412;31546,283
Slovenia;Cuba;Import;Animal;Import (US$ Thousand);67,035;106,035;67,753;84,576;74,89
Slovenia;Cyprus;Import;Animal;Import (US$ Thousand);10,834;5,56;170,693;124,267;321,167
Slovenia;Czech Republic;Import;Animal;Import (US$ Thousand);13408,601;13468,707;11185,186;12882,304;16717,73
Slovenia;Denmark;Import;Animal;Import (US$ Thousand);2507,373;1903,213;3214,293;2835,656;3262,788
Slovenia;Dominica;Import;Animal;Import (US$ Thousand);;;;0,28;
Slovenia;Ecuador;Import;Animal;Import (US$ Thousand);221,576;265,706;170,297;178,271;164,812
Slovenia;Egypt, Arab Rep.;Import;Animal;Import (US$ Thousand);2,435;13,538;2,313;7,793;4,554
Slovenia;Estonia;Import;Animal;Import (US$ Thousand);0,145;37,939;132,589;44,358;77,604
Slovenia;Faeroe Islands;Import;Animal;Import (US$ Thousand);499,593;1931,987;0,14;122,916;0,192
Slovenia;Falkland Island;Import;Animal;Import (US$ Thousand);2053,497;1731,805;2255,059;904,926;194,584
Slovenia;Fiji;Import;Animal;Import (US$ Thousand);;;0,743;;
Slovenia;Finland;Import;Animal;Import (US$ Thousand);0,045;63,011;0,148;4,347;
