Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2010;2011;2012;2013;2014
Slovenia;Afghanistan;Import;Chemicals;Import (US$ Thousand);0,871;;;0,101;0,013
Slovenia;Albania;Import;Chemicals;Import (US$ Thousand);408,913;114,651;12,319;7,205;31,447
Slovenia;Algeria;Import;Chemicals;Import (US$ Thousand);32,314;155,443;1891,553;122,8;163,785
Slovenia;Andorra;Import;Chemicals;Import (US$ Thousand);107,671;12,15;13,529;;
Slovenia;Anguila;Import;Chemicals;Import (US$ Thousand);;2,16;;;
Slovenia;Antarctica;Import;Chemicals;Import (US$ Thousand);;2,464;2,921;;
Slovenia;Antigua and Barbuda;Import;Chemicals;Import (US$ Thousand);;;0,015;;0,152
Slovenia;Argentina;Import;Chemicals;Import (US$ Thousand);850,331;1299,021;32,711;37,973;313,808
Slovenia;Armenia;Import;Chemicals;Import (US$ Thousand);0,247;;3,722;;39,154
Slovenia;Aruba;Import;Chemicals;Import (US$ Thousand);4,549;3,123;2,579;4,412;5,538
Slovenia;Australia;Import;Chemicals;Import (US$ Thousand);795,311;1181,95;1111,682;1404,309;2464,203
Slovenia;Austria;Import;Chemicals;Import (US$ Thousand);202601,173;210149,806;185045,822;224622,558;213903,733
Slovenia;Azerbaijan;Import;Chemicals;Import (US$ Thousand);;;;1,37;
Slovenia;Bangladesh;Import;Chemicals;Import (US$ Thousand);418,099;2990,452;3047,635;3005,223;3035,506
Slovenia;Barbados;Import;Chemicals;Import (US$ Thousand);;;;;6,935
Slovenia;Belarus;Import;Chemicals;Import (US$ Thousand);852,281;277,006;1043,437;589,668;134,558
Slovenia;Belgium;Import;Chemicals;Import (US$ Thousand);54048,652;62110,465;60382,434;65057,256;107949,877
Slovenia;Belize;Import;Chemicals;Import (US$ Thousand);;21,502;;;0,019
Slovenia;Bhutan;Import;Chemicals;Import (US$ Thousand);0,016;;0,014;;
Slovenia;Bosnia and Herzegovina;Import;Chemicals;Import (US$ Thousand);37572,058;16383,729;19845,778;29847,166;29685,656
Slovenia;Brazil;Import;Chemicals;Import (US$ Thousand);9639,09;11857,796;12097,422;9469,54;11342,915
Slovenia;British Indian Ocean Ter.;Import;Chemicals;Import (US$ Thousand);;;0,245;;
Slovenia;British Virgin Islands;Import;Chemicals;Import (US$ Thousand);0,862;0,306;;0,462;62,185
Slovenia;Brunei;Import;Chemicals;Import (US$ Thousand);0,14;;;;
Slovenia;Bulgaria;Import;Chemicals;Import (US$ Thousand);8290,645;6402,401;5252,092;5482,321;7067,922
Slovenia;Burkina Faso;Import;Chemicals;Import (US$ Thousand);38,171;;;3,6;
Slovenia;Cambodia;Import;Chemicals;Import (US$ Thousand);0,113;0,087;0,007;0,038;0,093
Slovenia;Canada;Import;Chemicals;Import (US$ Thousand);4090,154;3356,493;3998,173;5903,444;8313,564
Slovenia;Chile;Import;Chemicals;Import (US$ Thousand);490,057;654,942;824,718;681,658;277,809
Slovenia;China;Import;Chemicals;Import (US$ Thousand);135918,491;158211,776;184504,654;186806,177;214173,901
Slovenia;Cocos (Keeling) Islands;Import;Chemicals;Import (US$ Thousand);;;;0,228;
Slovenia;Colombia;Import;Chemicals;Import (US$ Thousand);5,524;0,753;6,712;13,068;12,162
Slovenia;Congo, Dem. Rep.;Import;Chemicals;Import (US$ Thousand);0,899;1,638;1,157;0,779;0,392
Slovenia;Congo, Rep.;Import;Chemicals;Import (US$ Thousand);;;;5,139;
Slovenia;Costa Rica;Import;Chemicals;Import (US$ Thousand);4,882;;0,255;2,159;1,299
Slovenia;Cote d'Ivoire;Import;Chemicals;Import (US$ Thousand);;107,877;;1,004;0,71
Slovenia;Croatia;Import;Chemicals;Import (US$ Thousand);103034,629;92553,07;99862,023;114507,649;107402,201
Slovenia;Cuba;Import;Chemicals;Import (US$ Thousand);167,984;10,497;13,572;1,084;0,415
Slovenia;Cyprus;Import;Chemicals;Import (US$ Thousand);15,383;56,98;37,628;180,575;177,649
Slovenia;Czech Republic;Import;Chemicals;Import (US$ Thousand);34741,586;41700,863;40756,733;37879,195;46743,236
Slovenia;Denmark;Import;Chemicals;Import (US$ Thousand);25572,205;27558,701;25107,683;23907,527;28954,338
Slovenia;Djibouti;Import;Chemicals;Import (US$ Thousand);0,023;;;;
Slovenia;Dominica;Import;Chemicals;Import (US$ Thousand);;;0,267;0,12;
Slovenia;Dominican Republic;Import;Chemicals;Import (US$ Thousand);142,916;174,518;143,599;157,44;162,524
Slovenia;Ecuador;Import;Chemicals;Import (US$ Thousand);9,108;10,043;42,873;24,48;33,773
Slovenia;Egypt, Arab Rep.;Import;Chemicals;Import (US$ Thousand);91,701;54,049;299,367;175,277;133,784
Slovenia;El Salvador;Import;Chemicals;Import (US$ Thousand);0,17;0,095;1,779;0,567;0,008
Slovenia;Estonia;Import;Chemicals;Import (US$ Thousand);1433,795;1787,272;1685,92;1655,803;1453,114
Slovenia;Ethiopia(excludes Eritrea);Import;Chemicals;Import (US$ Thousand);0,282;41,395;0,169;0,031;4,95
Slovenia;Finland;Import;Chemicals;Import (US$ Thousand);10319,772;9927,682;7616,358;8094,023;8213,302
Slovenia;France;Import;Chemicals;Import (US$ Thousand);149886,193;166687,302;163266,236;165307,093;168452,984
Slovenia;French Polynesia;Import;Chemicals;Import (US$ Thousand);;;;;0,1
Slovenia;Gabon;Import;Chemicals;Import (US$ Thousand);4,423;;8,262;;
Slovenia;Georgia;Import;Chemicals;Import (US$ Thousand);9,6;11,394;62,493;27,1;31,855
Slovenia;Germany;Import;Chemicals;Import (US$ Thousand);600371,283;652872,106;588501,176;653905,091;681829,224
Slovenia;Ghana;Import;Chemicals;Import (US$ Thousand);;0,831;2,937;1,188;1,828
Slovenia;Greece;Import;Chemicals;Import (US$ Thousand);36855,645;42626,768;31481,646;27951,533;33251,276
Slovenia;Grenada;Import;Chemicals;Import (US$ Thousand);;;;;7,924
Slovenia;Guam;Import;Chemicals;Import (US$ Thousand);3,605;7,28;;0,443;
Slovenia;Guatemala;Import;Chemicals;Import (US$ Thousand);0,716;1,564;0,307;2,529;3,498
Slovenia;Guinea;Import;Chemicals;Import (US$ Thousand);7,449;;0,166;;0,132
Slovenia;Haiti;Import;Chemicals;Import (US$ Thousand);;;;0,034;
Slovenia;Honduras;Import;Chemicals;Import (US$ Thousand);;;;8,273;1,03
Slovenia;Hong Kong, China;Import;Chemicals;Import (US$ Thousand);207,947;89,788;63,833;47,149;204,105
Slovenia;Hungary;Import;Chemicals;Import (US$ Thousand);82529,468;82879,67;80240,678;77709,971;64866,557
Slovenia;Iceland;Import;Chemicals;Import (US$ Thousand);675,859;2182,306;123,45;70,278;278,593
Slovenia;India;Import;Chemicals;Import (US$ Thousand);74118,246;93669,648;120468,521;112271,431;119422,76
Slovenia;Indonesia;Import;Chemicals;Import (US$ Thousand);1261,13;877,084;1117,783;1019,384;1150,785
Slovenia;Iran, Islamic Rep.;Import;Chemicals;Import (US$ Thousand);11532,723;38684,355;14042,913;538,252;1181,509
Slovenia;Ireland;Import;Chemicals;Import (US$ Thousand);58432,66;41873,002;42296,72;41652,543;36137,442
Slovenia;Israel;Import;Chemicals;Import (US$ Thousand);16526,827;10220,214;9808,093;11294,53;13658,158
Slovenia;Italy;Import;Chemicals;Import (US$ Thousand);276308,612;363283,12;370086,089;370741,019;304367,177
Slovenia;Jamaica;Import;Chemicals;Import (US$ Thousand);13,445;33020,03;40462,28;31581,072;41420,639
Slovenia;Japan;Import;Chemicals;Import (US$ Thousand);32319,002;40216,566;39990,55;47772,708;32735,313
Slovenia;Jordan;Import;Chemicals;Import (US$ Thousand);329,777;486,597;32,855;127,032;34,661
Slovenia;Kazakhstan;Import;Chemicals;Import (US$ Thousand);1666,4;5614,356;3990,051;4154,213;2975,363
Slovenia;Kenya;Import;Chemicals;Import (US$ Thousand);0,17;3,729;0,222;0,236;2,258
Slovenia;Korea, Dem. Rep.;Import;Chemicals;Import (US$ Thousand);120,265;32,737;63,825;5,409;4,107
Slovenia;Korea, Rep.;Import;Chemicals;Import (US$ Thousand);7063,266;6736,419;6021,002;5687,85;8879,819
Slovenia;Kuwait;Import;Chemicals;Import (US$ Thousand);419,211;294,122;2215,046;1206,883;810,664
Slovenia;Kyrgyz Republic;Import;Chemicals;Import (US$ Thousand);;68,69;19,056;2,363;4,834
Slovenia;Latvia;Import;Chemicals;Import (US$ Thousand);337,883;466,566;1070,06;1215,968;1895,551
Slovenia;Lebanon;Import;Chemicals;Import (US$ Thousand);3727,166;5395,326;4806,182;2664,246;6713,174
Slovenia;Libya;Import;Chemicals;Import (US$ Thousand);1408,603;60,845;42,382;;
