Partner Name;2010;2011;2012;2013;2014
Afghanistan;2151400,794;2921861,778;1521555,394;1409638,976;792389,357
Albania;46432,35;47562,162;54082,29;74364,825;51280,186
Algeria;1194325,446;1596975,135;1363163,393;1848703,921;2616993,205
Andorra;7682,08;5161,272;2238,367;5796,907;3789,433
Angola;1293490,947;1503222,549;1490579,464;1443438,524;2039125,048
Anguila;35575,958;31193,536;27409,044;31037,512;63172,506
Antigua and Barbuda;158339,672;154766,326;204627,966;145155,335;216605,245
Argentina;7386783,702;9892036,523;10258026,6;10348309,78;10825715,04
Armenia;113450,618;94316,257;64299,297;91221,471;60471,04
Aruba;540432,447;713209,634;710159,319;1099961,26;1357737,497
Australia;21804444,75;27622669,21;31145106,75;26110413,85;26493675,71
Austria;2335946,871;2779877,629;3365118,171;3477686,58;3793501,543
Azerbaijan;252516,882;337884,996;492623,482;380994,293;950264,996
Bahamas, The;3177976,837;3441973,224;3479066,681;3450322,692;3324418,095
Bahrain;1235144,57;1214407,158;1176914,298;1017911,665;1059757,847
Bangladesh;575698,015;1144148,134;508180,705;708816,08;1113364,427
Barbados;397391,831;439876,711;458567,57;452155,877;539917,095
Belarus;133148,863;156543,879;102025,447;95141,886;93385,923
Belgium;25457982,52;29990461,07;29434611,52;31920916,6;34771811,11
Belize;289388,047;355662,793;265606,023;241172,518;236703,11
Benin;462534,82;617574,838;572964,557;605364,254;780951,521
Bermuda;636554,214;608943,918;622417,113;537364,179;646392,323
Bhutan;3504,719;3838,631;2488,897;2351,165;2422,028
Bolivia;507981,144;667847,026;763010,279;1050758,212;1009967,972
Bosnia and Herzegovina;26349,51;21331,785;15869,518;38481,079;46080,139
Botswana;48496,947;44273,591;47983,957;82090,829;52866,146
Brazil;35417484,01;43018838,99;43771024,01;44092976,53;42427834,22
British Indian Ocean Ter.;1479,708;2212,415;2725,208;762,058;2099,098
British Virgin Islands;145778,454;151474,267;171759,131;312739,469;386662,276
Brunei;124168,019;184371,635;157596,189;558209,359;549156,862
Bulgaria;170881,502;258589,821;248545,279;307323,074;358776,89
Burkina Faso;46587,532;33260,22;47276,772;77598,603;72304,388
Burundi;14386,303;32788,844;19939,674;16711,425;5598,77
Cambodia;153825,031;186568,289;226404,53;241226,173;327933,341
Cameroon;132270,395;220567,654;253043,417;335737,087;301070,473
Canada;249248665,7;281237169,1;292567766,7;300685610,6;312371471,2
Cape Verde;9975,829;11462,67;7765,222;9134,281;7283,602
Cayman Islands;581646,732;615753,355;667000;679736,751;812721,52
Central African Republic;10339,636;12335,446;8515,84;4103,35;32322,366
Chad;89670,008;35450,336;36551,674;41460,707;66499,541
Chile;10906674,81;15993031;18773079,45;17517675,08;16512735,5
China;91910977,24;104121383;110516536;121721075,5;123675622,8
Christmas Island;1750,269;1486,081;4053,949;466,894;168,931
Cocos (Keeling) Islands;728,118;957,218;932,61;22169,095;6040,796
Colombia;12067662,18;14335692,04;16356797,01;18369301,51;20106598,37
Comoros;1259,238;1095,278;954,373;3491,014;3452,794
Congo, Dem. Rep.;93267,329;165925,39;199549,248;169806,311;181848,831
Congo, Rep.;254428,015;227293,001;237200,621;222397,877;321466,589
Cook Islands;3858,635;4604,318;5504,221;4869,141;5486,093
Costa Rica;5178268,088;6099237,36;7236638,312;7223399,974;6964076,275
Cote d'Ivoire;162845,207;131405,294;188087,985;167576,533;239079,267
Croatia;311801,078;511383,383;310054,427;308961,839;339592,081
Cuba;363112,464;363316,479;464458,419;359609,641;299064,037
Cura‡ao;;1671170,145;691942,132;687699,439;611834,151
Cyprus;134395,198;97699,749;166680,853;143223,588;151660,136
Czech Republic;1409643,853;1684360,72;1832279,706;1943335,903;2302336,668
Denmark;2132446,964;2247928,078;2224433,307;2231000,125;2360680,955
Djibouti;122793,059;129175,5;118841,64;164483,264;110874,793
Dominica;72843,63;73675,432;78934,015;77687,644;64186,171
Dominican Republic;6579216,535;7325686,377;6967114,526;7155517,552;7922140,505
East Timor;4325,772;8146,198;1143,436;1365,128;1286,987
Ecuador;5409017,059;6059785,107;6690073,464;7648702,521;8129379,152
Egypt, Arab Rep.;6832542,194;6228228,507;5498319,529;5175345,787;6472584,576
El Salvador;2430365,26;3357079,031;3070529,213;3262028,694;3295875,436
Equatorial Guinea;272137,422;285394,25;233161,535;756139,906;574794,79
Eritrea;2384,567;4308,872;5863,859;13476,312;5327,596
Estonia;187880,428;309602,8;235986,12;292850,317;294949,6
Ethiopia(excludes Eritrea);773159,838;689890,633;1274672,068;688507,736;1668975,97
Faeroe Islands;2129,58;3560,628;1627,283;2453,563;2360,974
Falkland Island;2718,134;3957,498;4347,073;1241,492;7845,6
Fiji;43972,153;42628,53;55608,118;66935,699;79515,154
Finland;2179532,042;3158715,531;2566156,117;2349033,238;2150014,04
Fm Sudan;115617,732;82056,034;;;
Fr. So. Ant. Tr;588,625;1425,658;1239,07;1749,592;8251,616
France;27724342,59;28859447,73;31925499,8;33864703,84;32449632,08
French Polynesia;121590,707;126618,809;129855,209;126287,434;129534,167
Gabon;242998,852;205151,05;319048,462;307983,525;417347,429
Gambia, The;29253,787;29366,112;27458,509;34135,359;41538,614
Georgia;300877,77;580009,236;541253,019;601253,207;627537,276
Germany;47994835,94;48939214,66;48372035,06;46862995,13;49028160,36
Ghana;989339,154;1199086,566;1322494,666;982392,732;1186243,58
Gibraltar;1494144,556;3148591,117;5109058,46;3576385,347;2530894,164
Greece;1106425,56;1130969,963;804136,728;739038,829;773186,86
Greenland;8577,516;7302,165;15856,79;19148,034;12713,909
Grenada;71243,438;81834,405;72112,543;95265,322;83966,315
Guatemala;4476841,489;6151169,676;5748945,279;5552496,517;5963671,359
Guinea;85061,952;256160,269;154622,237;79462,98;65185,635
Guinea-Bissau;3401,58;11838,657;21095,196;6643,733;2904,28
Guyana;290703,439;363441,299;359571,07;318387,539;369960,5
