Partner Name;2010;2011;2012;2013;2014
Afghanistan;38408,066;32583,769;33166,917;23483,161;20995,467
Albania;17616,189;20736,471;28625,516;27969,518;12156,047
Algeria;5764,461;51,489;24629,717;133052,467;74358,676
Andorra;2,78;121,885;;1862,255;
Angola;151768,552;208964,84;245017,525;249340,804;278727,542
Anguila;415,694;769,292;1211,944;1978,644;2606,958
Antigua and Barbuda;12809,264;13242,119;13379,234;12780,117;14721,992
Argentina;22149,121;24647,65;19284,435;15092,736;15246,529
Armenia;5751,083;10726,561;8629,262;16919,082;11865,008
Aruba;17157,498;20782,582;18235,345;17279,321;20364,278
Australia;217578,802;301859,876;333072,928;296135,105;364301,262
Austria;1197,918;2076,555;5242,827;1547,713;1313,447
Azerbaijan;9579,024;16113,9;35947,056;23958,541;21146,236
Bahamas, The;77990,015;82760,846;81603,852;77253,44;87267,754
Bahrain;15727,815;22288,881;31921,218;39818,609;38033,754
Bangladesh;45641,792;49192,686;32929,153;26833,053;30268,831
Barbados;12942,181;15753,914;17094,911;17864,519;21268,334
Belarus;193,97;32,297;1666,456;519,545;1158,07
Belgium;67866,443;81288,834;59732,568;65320,326;62766,567
Belize;3283,513;3943,712;4752,748;5651,999;5874,928
Benin;1972,182;1912,247;7311,263;16942,981;25835,644
Bermuda;28642,357;28879,118;28027,94;30961,781;32191,466
Bhutan;;;;16,65;11,35
Bolivia;276,621;465,42;612,502;772,09;720,201
Bosnia and Herzegovina;1012,323;192,965;86,575;700,81;184,865
Botswana;28,327;14,962;22,534;86,455;32,033
Brazil;54542,494;68319,921;71463,593;81270,134;85441,352
British Indian Ocean Ter.;;;5,773;3,141;
British Virgin Islands;7673,884;10003,304;12116,006;10619,794;10407,44
Brunei;176,816;599,945;133,557;1275,5;439,009
Bulgaria;903,466;669,137;463,046;919,115;830,771
Burkina Faso;;;33,959;31,61;
Burundi;;;435,153;;
Cambodia;733,892;835,92;1665,663;2139,451;3368,103
Cameroon;159,685;6994,832;2814,658;7325,267;1643,388
Canada;2715316,888;3237904,012;3564897,516;3604487,427;3510141,307
Cape Verde;1084,181;3863,684;1968,953;2378,582;2529,161
Cayman Islands;18041,486;17736,906;19324,497;18773,495;22480,388
Central African Republic;758,493;686,75;50;;11,133
Chad;222,084;30,006;;;
Chile;58894,488;132826,234;209153,826;244837,989;244707,628
China;1409802,186;2432093,13;2615545,306;2944344,921;2613832,195
Christmas Island;10,423;;;5,267;
Colombia;45251,46;65188,543;109937,809;162161,217;248795,369
Comoros;256,826;575,792;629,068;949,803;617,101
Congo, Dem. Rep.;23340,335;31258,239;33876,274;29394,383;37364,572
Congo, Rep.;37813,198;36713,278;50820,389;36406,267;42925,265
Cook Islands;609,717;1233,607;1522,282;1916,591;2099,323
Costa Rica;29416,306;33359,267;42158,716;50200,849;53265,13
Cote d'Ivoire;4488,558;4613,431;6179,005;2959,65;3448,68
Croatia;3560,285;8249,375;1336,479;1291,655;1246,38
Cuba;119886,383;109400,251;169732,227;153733,756;149100,938
Cura‡ao;;24216,31;14824,933;17225,216;17733,261
Cyprus;260,84;487,816;858,801;648,917;805,866
Czech Republic;1045,948;1428,43;1475,426;1202,476;1286,567
Denmark;36717,499;60489,207;46581,581;54326,28;46210,343
Djibouti;64,162;;127,44;537,825;
Dominica;4683,801;4642,142;5083,775;4773,352;5288,794
Dominican Republic;143123,265;159610,608;180015,657;188968,178;221936,439
