Partner Name;2010;2011;2012;2013;2014
Afghanistan;19263,192;9985,61;12943,753;21327,05;4888,044
Albania;1361,857;1447,487;2606,771;11779,095;4840,575
Algeria;26456,525;36097,139;43763,787;42251,309;47916,872
Andorra;639,838;258,271;459,562;272,62;319,186
Angola;65415,798;79460,542;127372,095;84512,278;95918,886
Anguila;3037,929;1526,456;1264,911;1224,746;1837,796
Antigua and Barbuda;8063,976;7044,782;8228,258;7915,189;10258,458
Argentina;1677452,919;2154712,04;2198963,243;2272240,816;2124446,812
Armenia;1751,006;1941,05;2469,57;1940,405;1508,284
Aruba;26057,013;49142,783;34683,905;32324,549;36358,34
Australia;2825631,384;2958522,717;3089621,989;3001841,9;2925640,66
Austria;731485,681;1051419,394;1455919,231;1799933,066;1858959,301
Azerbaijan;7334,123;10501,321;20662,019;16965,258;17756,378
Bahamas, The;164557,595;199244,64;226138,467;234955,08;218641,375
Bahrain;29719,75;28316,514;33192,717;28494,05;26856,755
Bangladesh;21128,35;45274,411;24417,987;31651,232;30935,415
Barbados;38732,816;39375,876;41810,855;39842,539;42648,355
Belarus;8604,214;5414,269;6707,93;5995,639;6109,141
Belgium;8481441,871;9711275,882;10218153,69;10901526,81;12309866,46
Belize;17240,771;22239,696;23992,178;22665,628;17980,193
Benin;6885,823;12889,002;11873,972;9737,413;2917,343
Bermuda;28198,411;28189,192;26864,04;27327,735;23768,747
Bhutan;155,164;93,3;105,606;88,824;98,995
Bolivia;56042,717;56488,203;48188,55;44321,098;63238,633
Bosnia and Herzegovina;1383,755;1883,309;1568,28;1334,674;2550,693
Botswana;1193,183;1348,418;3592,849;9291,186;5261,762
Brazil;6140517,473;6856902,145;7041580,461;7674278,58;7869066,354
British Indian Ocean Ter.;143,704;90,155;30,6;31,566;
British Virgin Islands;8166,851;7791,028;7613,473;9094,069;7434,264
Brunei;3811,831;4880,646;5951,267;4582,685;5056,803
Bulgaria;11297,976;9576,164;11228,05;13165,012;27107,414
Burkina Faso;2097,667;2122,791;3610,634;13010,93;27938,229
Burundi;88,192;4288,728;7519,703;3871,298;381,776
Cambodia;4813,704;2356,043;3094,131;4473,29;4598,688
Cameroon;6079,107;16894,947;23530,997;36798,279;35506,057
Canada;21309928,6;23498839,96;23151911,53;23768032,8;23953084,47
Cape Verde;590,335;887,204;755,261;375,675;141,004
Cayman Islands;20645,437;20972,625;22830,761;29074,562;26594,623
Central African Republic;108,56;2160,342;1341,595;1272,6;2418,147
Chad;1404,177;1104,522;2576;2084,388;2535,941
Chile;955678,531;1196994,975;1337425,815;1441748,927;1328288,913
China;8512124,244;10018201,22;9433259,455;9740887,943;9669860,494
Christmas Island;2,78;2,714;1192,249;;10,2
Cocos (Keeling) Islands;277,811;455,092;5,169;58,825;
Colombia;1734380,143;2077147,169;2075909,526;2167060,843;2234173,882
Comoros;33,615;13,753;29,768;;2,6
Congo, Dem. Rep.;1657,003;40105,504;2001,1;40131,618;41747,773
Congo, Rep.;11939,264;7949,25;13361,866;14458,843;11412,033
Cook Islands;;17,378;30,112;9,736;7,159
Costa Rica;288714,984;343066,836;312116,125;311874,797;291567,293
Cote d'Ivoire;7593,831;5152,905;10244,997;7844,409;26839,893
Croatia;36542,878;21943,756;44776,991;26880,124;23820,579
Cuba;10403,168;5990,871;234,718;182,465;6489,406
Cura‡ao;;53933,734;47522,226;55021,364;60946,607
Cyprus;5910,565;5253,5;5211,965;6240,582;6044,934
Czech Republic;76719,513;78001,958;103759,85;135000,874;135195,982
Denmark;229578,448;228872,685;240665,475;276759,82;307090,455
Djibouti;680,637;587,489;1955,797;3216,251;2399,443
Dominica;4141,64;5116,156;4875,489;3947,932;4679,41
Dominican Republic;316294,526;336159,925;332267,839;330431,824;349141,881
East Timor;447,98;326,865;;3,177;5,489
Ecuador;316664,863;353945,262;363056,541;403138,698;408991,318
Egypt, Arab Rep.;267808,375;284915,889;334637,794;412417,846;407861,282
El Salvador;137514,339;150933,756;166410,422;148533,633;131266,409
Equatorial Guinea;18678,229;13447,652;17776,193;11976,857;15650,161
Eritrea;86,637;52,014;389,608;260,206;243,562
Estonia;21047,477;48751,856;21457,762;28955,053;31800,467
Ethiopia(excludes Eritrea);11964,607;4109,804;3925,974;6079,362;16795,452
Faeroe Islands;;441,72;;793,951;1127,755
Falkland Island;250,564;50,649;90;15,448;15,396
Fiji;5887,113;3142,27;3196,365;4080,284;4186,684
Finland;202380,047;233799,558;234510,067;202660,627;171013,056
Fm Sudan;3245,399;2394,591;;;
Fr. So. Ant. Tr;2,516;16,946;261,123;;9,518
France;5288996,458;4592722,296;5044500,851;4405730,832;4377626,18
French Polynesia;1532,416;1980,526;2011,301;2202,982;2184,374
Gabon;6419,64;7434,129;13467,704;8846,478;11503,368
Gambia, The;6682,954;1566,21;1892,36;2069,48;4090,307
