Partner Name;2010;2011;2012;2013;2014
Afghanistan;879,383;719,469;772,649;527,219;400,561
Albania;63,455;18,478;2460,184;2943,685;6060,427
Algeria;13802,373;157000,915;28959,643;329715,164;52709,11
Andorra;7,884;4,679;;182,777;
Angola;2036,051;4958,064;4023,016;17536,593;9699,458
Anguila;1257,65;1251,104;1008,139;1190,994;18201,659
Antigua and Barbuda;24536,556;28549,611;55438,489;6909,065;61823,993
Argentina;730080,592;1787123,33;2418628,527;2390079,186;2661887,444
Armenia;37045,224;63,508;100,481;116,607;297,387
Aruba;207276,48;272210,25;312183,914;668578,34;868474,037
Australia;226928,295;403795,12;360279,887;298673,216;384474,605
Austria;82165,053;92448,063;259310,363;88589,176;48876,833
Azerbaijan;400,375;228,28;1070,24;877,709;2086,685
Bahamas, The;1695148,679;1805407,804;1747436,857;1558261,695;1428808,716
Bahrain;7051,194;28123,786;10345,6;17163,778;2560,114
Bangladesh;109,082;137,241;252,416;987,758;904,551
Barbados;5888,709;7282,703;33737,401;5704,463;64454,268
Belarus;126,278;87,639;35,444;15,245;41,976
Belgium;850948,245;1715463,001;1124228,475;2159488,855;1343275,695
Belize;82280,49;127514,678;46537,96;4987,62;4013,155
Benin;;32764,323;41269,72;2345,905;2691,791
Bermuda;115617,791;157941,104;106408,568;119610,348;153180,269
Bolivia;7409,299;10431,721;43883,36;200479,832;121883,356
Bosnia and Herzegovina;6952,108;1862,658;;3719,527;19112,518
Brazil;4194250,02;6398146,015;7299798,369;6580333,407;7405129,701
British Virgin Islands;12195,768;6281,848;6313,875;14737,451;22794,251
Brunei;179,137;92,086;159,187;201,149;160,159
Bulgaria;9357,992;24402,292;19954,197;20265,648;26637,271
Burkina Faso;5,96;3,872;;21,306;7,378
Cambodia;84,32;353,79;394,961;462,213;809,513
Cameroon;902,897;1163,365;398,722;1377,231;1441,191
Canada;13153607,79;18811787,6;18927854,9;24954704,85;32804219,99
Cayman Islands;125619,442;158791,182;173933,83;185501,434;177479,327
Central African Republic;;;;;3,167
Chad;27,575;123,304;2,831;24,026;22,882
Chile;2340084,535;5006490,653;6092592,304;5902721,784;5541641,753
China;1354454,993;2038333,881;2440877,013;2798559,458;1772230,868
Christmas Island;;;3,955;6,219;
Colombia;2248891,65;2727601,352;3462136,707;5281326,874;6109813,786
Comoros;37,685;14,445;;;
Congo, Dem. Rep.;207,442;172,385;49357,83;89,115;188,983
Congo, Rep.;125,469;452,165;746,513;418,22;690,463
Cook Islands;;32,217;;;3,442
Costa Rica;946543,456;1494790,77;2152781,261;2032040,931;1906166,626
Cote d'Ivoire;1238,841;15895,724;1071,388;1333,317;31866,045
Croatia;157421,588;330084,331;133329,936;150838,672;185313,278
Cura‡ao;;848183,769;290415,206;312355,911;236370,606
Cyprus;271,645;3265,78;6550,849;15478,747;5938,943
Czech Republic;1452,955;2189,646;2365,166;1684,06;1288,845
Denmark;101834,366;64651,106;19870,16;56791,085;19883,473
Djibouti;356,382;8,554;442,796;615,365;510,497
Dominica;2353,333;2226,036;7387,644;18206,94;1395,451
Dominican Republic;869938,58;1300289,979;1291614,771;1357615,003;1882753,903
East Timor;38,091;;;;
Ecuador;2015515,466;2349006,31;2695929,528;3466546,98;3967432,887
Egypt, Arab Rep.;656727,121;635598,983;388417,707;512003,424;1168888,658
El Salvador;314477,78;699428,897;346660,459;602854,719;808406,975
Equatorial Guinea;1511,581;1986,527;2656,229;2170,999;2417,987
Eritrea;;7,788;5,63;;
Estonia;80,391;64770,903;2514,946;964,829;121,85
Ethiopia(excludes Eritrea);35,619;3134,401;44,728;414,73;6089,568
Falkland Island;;;34,426;;51,311
Fiji;17,362;70,664;54,111;49,621;6908,666
