Partner Name;2010;2011;2012;2013;2014
Afghanistan;147,994;15,477;4,6;24,933;15,76
Albania;;4;249,142;;
Algeria;644,406;689,18;428,857;443,617;676,905
Andorra;;;2,864;;
Angola;2862,683;1791,949;1161,911;1747,917;1320,793
Anguila;49,089;40,265;57,111;80,395;110,882
Antigua and Barbuda;155,492;150,616;201,367;200,651;825,359
Argentina;19270,972;20639,31;16001,21;20339,419;54817,193
Armenia;106,256;103,63;;58,908;107,169
Aruba;431,444;515,985;2201,806;915,038;1697,114
Australia;84085,437;129917,741;130390,022;95510,395;126503,467
Austria;19116,157;15394,504;8102,632;5551,226;2834,237
Azerbaijan;159,716;345,834;79,825;75,916;105,975
Bahamas, The;12318,082;12753,579;15275,689;18687,002;12541,751
Bahrain;1917,719;1835,513;2438,84;2523,577;2714,291
Bangladesh;537,515;765,029;640,835;866,089;533,573
Barbados;486,407;1322,847;1083,292;1135,832;1274,865
Belarus;72,841;26,059;114,636;18,937;
Belgium;378061,77;339117,797;302450,013;244239,638;376286,231
Belize;1034,043;336,287;741,201;221,453;308,479
Benin;;9,167;;;3898,563
Bermuda;997,403;1164,629;1012,886;965,905;1178,322
Bolivia;695,999;374,316;503,638;546,22;797,745
Bosnia and Herzegovina;;;3,715;3,479;24,524
Brazil;107200,759;174031,098;210560,924;143607,784;172299,385
British Indian Ocean Ter.;9,029;;;;
British Virgin Islands;3244,357;3057,508;1934,487;2221,351;2127,554
Brunei;215,058;66,194;123,58;36,606;39,342
Bulgaria;235,931;154,933;96,575;189,811;3845,717
Burkina Faso;;;;3,064;
Burundi;;;;;18,21
Cambodia;13,918;74,429;61,136;44,048;40,164
Cameroon;157,49;75,77;50,945;1976,973;4042,488
Canada;2286843,76;2794863,034;2563989,133;2497384,62;2752747,904
Cayman Islands;1138,299;1331,342;1368,508;1352,901;913,474
Central African Republic;3,437;10;;;
Chad;4,725;;;;
Chile;22495,507;129981,201;52868,695;21013,814;47373,195
China;1485585,206;1821226,966;1922281,104;1663054,996;1729974,209
Colombia;24909,168;32949,263;30561,495;24485,771;24121,842
Congo, Dem. Rep.;3,091;29,72;290,322;284,357;
Congo, Rep.;405,281;548,374;251,856;147,204;149,342
Costa Rica;22404,057;13883,566;11034,797;9682,635;11539,835
Cote d'Ivoire;65,848;22,316;113,202;74,537;23,476
Croatia;151,085;180,159;143,346;158,81;222,616
Cura‡ao;;1930,162;1687,202;1774,004;1438,969
Cyprus;252,522;145,719;118,339;67,524;120,458
Czech Republic;336,141;454,877;655,557;905,409;2079,432
Denmark;4904,842;5817,602;5019,78;3885,085;2720,142
Djibouti;;67,961;7,429;17,358;61,961
Dominica;61,092;70,613;261,747;343,173;60,949
Dominican Republic;8446,283;8959,443;34417,765;37495,616;34841,289
East Timor;90,911;;;;
Ecuador;5631,691;6431,2;5630,282;5782,796;6946,108
