Partner Name;2010;2011;2012;2013;2014
Afghanistan;21022,77;12356,033;12425,234;9057,649;5793,541
Albania;283,865;467,668;695,535;357,531;488,773
Algeria;82759,678;104480,856;85432,248;104152,701;79065,031
Andorra;626,962;721,188;416,025;809,929;410,651
Angola;16650,368;24163,698;30374,656;24813,559;41184,766
Anguila;1133,44;1014,652;735,863;1486,287;1276,99
Antigua and Barbuda;3474,565;3352,834;3404,845;4027,722;3767,136
Argentina;566503,451;683168,568;659826,374;667293,696;625179,704
Armenia;1460,594;3484,159;3191,724;2126,641;2829,634
Aruba;5382,392;8396,638;6297,06;6404,559;7027,041
Australia;1000675,271;1132839,664;1293314,356;1210018,784;1096235,052
Austria;108865,325;89718,927;66900,999;58150,516;56654,098
Azerbaijan;4748,061;7779,293;7350,982;5075,735;5550,651
Bahamas, The;38513,899;40442,955;45983,322;47076,126;51981,162
Bahrain;18212,128;25907,265;26192,321;29274,065;31793,813
Bangladesh;5373,629;8302,892;8454,995;10028,136;8705,187
Barbados;17291,274;18653,025;21073,352;25153,724;27393,589
Belarus;4413,98;8375,754;3731,847;4068,001;3881,094
Belgium;2390109,979;2622075,385;2521702,07;2772136,566;2866962,381
Belize;5613,625;5220,312;5546,161;6174,907;8037,395
Benin;1870,412;3355,95;2284,759;2868,304;3475,544
Bermuda;19728,545;16758,713;13968,889;15313,375;12995,122
Bhutan;6,826;;18,76;9,896;
Bolivia;9789,088;14520,273;15555,18;20219,748;27867,099
Bosnia and Herzegovina;238,208;185,369;57,668;144,28;451,417
Botswana;2645,997;833,971;164,954;423,271;664,064
Brazil;2344427,934;2770143,668;2652468,395;2883579,827;2622830,294
British Indian Ocean Ter.;;13,95;17,767;40,748;7,113
British Virgin Islands;4343,48;3833,771;3996,99;3308,295;5479,855
Brunei;1793,362;1424,155;2462,361;2352,612;1242,875
Bulgaria;4507,65;4833,338;6356,233;5452,126;2756,724
Burkina Faso;2465,378;695,9;993,809;2913,968;1881,959
Burundi;351,494;20,763;26,501;144,824;31,704
Cambodia;1798,072;1337,801;923,744;821,019;743,626
Cameroon;8045,034;16431,689;12811,374;13760,619;26094,099
Canada;15409500,05;17285729,17;17975529,62;17772269,42;18351257,19
Cape Verde;697,954;47,066;161,026;12,66;45,595
Cayman Islands;10054,178;8713,187;9811,031;9717,382;9868,416
Central African Republic;20,9;122,53;314,599;;101,514
Chad;2951,548;176,925;322,855;1499,178;1376,16
Chile;637108,569;732644,806;825368,471;812363,16;786037,677
China;5744821,154;6104659,612;5735260,914;5718603,236;5978684,756
Christmas Island;4,264;18,765;;;14,008
Cocos (Keeling) Islands;26,895;192,145;;;
Colombia;720627,191;821298,457;873635,489;870825,701;900731,304
Comoros;37,107;;;;
Congo, Dem. Rep.;4105,391;4383,939;4436,649;3057,389;535,856
Congo, Rep.;5436,323;7184,647;4933,11;6139,679;6891,936
Cook Islands;31,442;7,124;;18,675;
Costa Rica;408882,028;457971,742;460125,278;472309,909;505355,35
Cote d'Ivoire;31892,71;30381,627;39335,155;39932,098;36587,021
Croatia;5216,242;6163,174;5826,747;6697,523;6735,269
Cuba;4,59;3,055;73,218;172,409;39,2
Cura‡ao;;12555,032;6664,955;7298,104;9186,516
Cyprus;1683,255;4610,152;2680,938;1052,717;1460,47
Czech Republic;46610,396;57098,888;69953,293;88294,446;150459,864
Denmark;44637,619;48899,09;39452,718;41691,105;48744,254
Djibouti;2518,608;1540,526;2848,983;3311,502;1942,99
Dominica;2525,773;2980,325;2487,085;3615,065;2881,462
Dominican Republic;401759,555;431990,504;456893,902;460556,88;520618,457
East Timor;295,254;215,88;10,317;;
Ecuador;306202,854;341908,114;330810,261;323095,098;320171,372
Egypt, Arab Rep.;270338,709;269223,186;281729,771;260595,773;311640,779
El Salvador;174814,54;196693,622;193724,702;194257,25;192332,503
Equatorial Guinea;9458,267;6260,287;6951,889;7582,999;6616,853
Eritrea;72,196;712,221;76,953;45,703;61
Estonia;8774,337;9080,929;11883,433;7995,91;5090,885
Ethiopia(excludes Eritrea);3228,474;2010,883;2336,442;2477,557;3428,753
Faeroe Islands;35,982;7,767;68,648;34,578;
Falkland Island;14,164;114,809;29,397;;31,46
Fiji;1931,296;997,34;1349,717;1198,977;2200,169
Finland;68501,78;82887,237;92125,77;71561,904;71533,699
Fm Sudan;455,087;163,872;;;
Fr. So. Ant. Tr;27,264;8,72;115,419;31,093;6,791
France;767910,557;851464,774;834944,816;713081,271;703943,609
French Polynesia;3094,734;3660,741;4074,618;3125,137;2903,485
Gabon;2596,403;4416,851;7276,21;3805,929;6094,849
Gambia, The;692,457;944,124;673,392;637,907;766,35
Georgia;5548,311;11550,936;7189,146;17625,226;11516,272
Germany;1514638,491;1648442,877;1489401,022;1468648,717;1525737,291
Ghana;40469,206;62089,591;74329,073;69384,362;46179,647
Gibraltar;227,871;17,373;90,142;164,107;40,088
Greece;16439,995;15084,758;12176,804;13601,418;20358,722
Greenland;112,901;19,059;196,105;49,447;60,627
Grenada;1328,116;1695,672;1513,002;2070,268;1930,772
Guatemala;309552,384;321624,122;296733,304;316358,255;298972,306
Guinea;9302,849;8873,754;6274,025;4176,328;4077,113
Guinea-Bissau;80,595;22,097;8,5;13,225;28,376
Guyana;13422,75;15777,601;14988,278;14222,099;14202,972
Haiti;30974,652;33069,239;29033,048;32572,914;34208,062
Heard Island and McDonald Isla;13,519;12,946;;;16,115
Holy See;210,241;21,205;429,115;6,532;72,13
Honduras;194214,266;205330,975;195680,661;202775,66;192848,803
Hong Kong, China;1545915,952;1511825,01;1329288,805;1214130,134;1280260,254
Hungary;25717,834;31633,766;31265,554;46539,995;53905,001
Iceland;7910;7759,65;7201,641;6302,888;8575,606
India;898435,481;1000438,148;875380,834;816758,235;806136,692
Indonesia;271979,543;329497,547;296200,515;336500,291;345090,226
Iran, Islamic Rep.;14970,801;29556,591;21606,023;17543,624;20446,009
Iraq;4856,75;14466,365;9851,757;20091,48;18045,501
Ireland;404835,91;442997,201;456662,943;430277,04;405169,392
Israel;369785,622;340586,158;344291,631;330627,509;246530,994
Italy;363997,694;440654,104;363522,207;371789,933;373293,751
Jamaica;56340,081;59310,751;59490,835;60589,254;65898,026
Japan;2330600,789;2444716,453;2458581,055;2126818,402;2152568,998
Jordan;26035,553;28425,709;38975,04;27883,484;26861,701
Kazakhstan;7447,644;9420,419;10989,708;14728,816;11856,688
Kenya;14952,627;14436,347;15641,85;9533,021;10325,009
Kiribati;;;27,535;22,479;34,373
Korea, Dem. Rep.;;;9,394;19,167;6,4
Korea, Rep.;1383846,722;1557490,767;1548496,386;1748125,188;1758044,715
Kuwait;85825,979;61381,11;48046,463;52116,912;46381,623
Kyrgyz Republic;3213,803;1069,434;1779,344;1960,608;740,403
Lao PDR;127,77;516,318;110,567;271,859;215,385
Latvia;12122,4;11431,145;13208,192;14760,779;10910,011
Lebanon;24160,682;25620,437;24252,775;24095,353;26611,025
Lesotho;11,64;;;;
Liberia;5369,347;3883,02;3450,641;3654,915;8882,174
Libya;16861,367;1243,326;12287,32;26722,316;16550,737
Lithuania;15078,528;14219,111;20821,631;16547,594;12299,054
Luxembourg;74151,22;131262,132;117806,759;97680,059;111726,189
Macao;1146,586;1195,698;1449,812;2531,937;2865,509
Macedonia, FYR;155,717;94,676;694,21;575,573;268,133
Madagascar;936,723;609,154;1320,669;2294,051;1970,923
Malawi;483,736;812,728;402,242;901,769;600,288
Malaysia;340972,877;384074,414;363654,038;412244,033;397666,971
Maldives;573,175;338,196;327,516;621,064;749,24
Mali;2275,69;3354,117;1851,963;1528,454;1594,354
Malta;4877,249;3133,59;6685,055;3116,253;3812,939
Marshall Islands;1275,187;1353,02;1535,4;504,621;489,194
Mauritania;5623,82;12267,862;24032,096;9497,968;11495,995
Mauritius;3846,848;4744,564;3406,419;2945,672;1255,358
Mayotte;276,764;300,732;617,412;1259,892;
Mexico;13574511,91;15313825,41;17013218,94;18462381,73;20045009,42
Micronesia, Fed. Sts.;1125,074;645,298;822,755;380,92;514,323
Moldova;420,257;290,17;214,413;992,948;423,182
Mongolia;4076,759;8838,109;8496,911;7308,326;8271,015
Montenegro;459,121;640,03;525,317;365,064;373,114
Montserrat;326,656;489,4;530,999;434,308;290,574
Morocco;43757,63;63945,746;61479,873;41992,667;19273,27
Mozambique;3548,443;10071,069;15517,165;6838,026;1994,947
Myanmar;9,65;149,749;232,226;504,986;736,87
Namibia;13531,845;1668,829;3967,461;12141,288;8653,798
Nepal;406,802;149,341;529,803;179,585;192,943
Netherlands;1301949,187;1514716,338;1407917,608;1443333,252;1512242,485
Netherlands Antilles;16844,884;;;;
New Caledonia;1403,626;863,415;1353,541;1285,81;1111,14
New Zealand;161763,45;136755,144;135525,907;133022,974;139783,386
Nicaragua;26072,092;34195,782;34596,389;40016,068;33701,982
Niger;848,271;1309,7;1464,583;1202,096;1679,469
Nigeria;148529,317;199006,341;153711,294;200554,27;217519,025
Norfolk Island;9,552;;3,216;;49,513
Norway;70604,29;61796,738;77429,201;80969,376;80179,854
Occ.Pal.Terr;121,794;;3,972;2,52;46,962
Oman;36383,431;49769,069;44666,951;58580,861;67057,757
Other Asia, nes;956902,182;1095033,407;993617,762;940040,466;995532,37
Pakistan;52988,652;36044,561;32032,896;37573,022;35243,016
Palau;156,839;243,376;215,216;30,661;62,216
Panama;114876,706;129799,561;129329,758;144163,925;153613,762
Papua New Guinea;1674,853;7385,098;10059,798;10236,221;5810,378
Paraguay;39482,428;38330,963;31529,388;38516,368;34432,751
Peru;587034,757;627613,667;649265,371;627214,84;625640,223
Philippines;178287,785;158203,934;160000,416;174213,859;174140,15
Poland;182978,901;187105,04;192534,063;197175,551;204417,419
Portugal;23944,041;22500,005;20376,229;25809,625;31730,187
Qatar;37314,158;48562,721;44708,172;37897,024;48878,448
Romania;10562,346;16601,972;17749,955;20741,849;21697,553
Russian Federation;331431,659;433438,746;470748,071;467691,562;328884,775
Rwanda;281,743;334,726;513,428;161,289;79,497
Saint Helena;9,063;33,865;;32,833;
Saint Pierre and Miquelon;;10,075;;;
Samoa;268,768;217,22;262,481;449,455;347,129
San Marino;170,442;25,189;3,792;;9,706
Sao Tome and Principe;;4066,485;8,633;2,636;19,854
Saudi Arabia;280633,626;284580,574;376655,617;438516,958;446081,439
Senegal;14951,288;21212,969;18040,181;19586,629;14783,482
Serbia, FR(Serbia/Montenegro);3331,92;5527,6;2051,273;2405,734;2648,046
Seychelles;545,038;1107,581;809,124;719,051;718,248
Sierra Leone;1620,763;2070,443;2298,09;2079,051;8826,457
Singapore;1486711,161;1941015,65;1592109,519;1329629,129;1307614,116
Sint Maarten;;5699,335;9055,948;9615,809;11002,565
Slovak Republic;3869,322;5497,101;5899,462;7707,695;11941,786
Slovenia;31105,666;41290,094;32483,853;31847,488;41561,879
Solomon Islands;21,175;268,257;24,488;;
Somalia;526,38;3,645;249,303;191,74;115,695
South Africa;236766,229;310957,471;328336,638;347205,666;293753,012
South Sudan;;;128,056;133,592;118,25
Spain;227905,088;249491,538;199242,684;206181,707;225199,996
Sri Lanka;13057,44;29292,233;19491,778;15531,989;19056,595
St. Kitts and Nevis;2521,878;2747,535;2846,577;3643,247;4172,105
St. Lucia;6501,382;6526,575;6036,815;6886,054;7450,788
St. Vincent and the Grenadines;2706,816;2844,174;3355,994;3291,137;3338,903
Sudan;;;75,329;17,807;22,971
Suriname;23070,401;33850,078;36587,144;39403,467;35006,536
Swaziland;152,478;482,469;144,03;209,643;213,927
Sweden;95964,352;97787,505;102266,752;86222,978;99522,284
Switzerland;113136,197;121706,649;120444,089;115423,905;125570,763
Syrian Arab Republic;65,481;17,025;2,8;;22,074
Tajikistan;;168,566;277,169;233,551;212,699
Tanzania;13031,626;19421,779;16009,475;14125,265;7638,655
Thailand;544282,388;596565,251;657425,008;569696,001;578030,108
Togo;5191,511;3949,239;9660,053;5890,315;5358,53
Tokelau;277,204;132,233;100,012;;
Tonga;167,323;18,26;62,692;97,655;19,685
Trinidad and Tobago;102103,823;110729,985;104655,627;102801,718;104035,583
Tunisia;28963,453;28560,13;40360,601;43252,943;28891,722
Turkey;388155,848;491299,78;473826,289;541774,24;403814,091
Turkmenistan;874,369;1114,576;4040,38;1243,604;1211,369
Turks and Caicos Isl.;3694,371;2979,276;3065,725;2670,744;4214,471
Tuvalu;38,334;;;;
Uganda;1740,482;2364,534;2153,294;1558,976;1695,73
Ukraine;75036,656;46901,04;49560,326;65326,924;59064,12
United Arab Emirates;304183,29;347456,76;348245,385;360036,354;406828,717
United Kingdom;1267592,788;1434798,353;1463526,315;1480052,945;1618620,302
Uruguay;94559,003;81202,1;76968,057;78734,994;61539,568
Uzbekistan;2609,908;1638,308;2076,201;1459,522;924,515
Vanuatu;54,057;;58,499;81,088;160,468
Venezuela;315502,388;528801,689;562857,252;476015,243;369352,462
Vietnam;187396,029;243365,79;214564,346;230853,124;251993,13
Wallis and Futura Isl.;;23,845;;6,228;
Yemen;5228,814;3442,241;3527,739;4889,165;7167,267
Zambia;5980,192;5830,47;14976,172;19373,776;13798,846
Zimbabwe;653,44;569,614;554,307;524,209;291,342
