Partner Name;2010;2011;2012;2013;2014
Afghanistan;41486,456;30204,296;11715,19;2320,843;6222,254
Albania;1615,39;1272,07;1414,985;617,279;780,338
Algeria;178133,753;161812,03;174393,56;140436,662;142601,052
Andorra;93,34;184,138;4,469;518,14;746,744
Angola;12401,669;8076,172;13126,177;14914,58;12343,579
Anguila;1209,864;838,835;683,59;1260,573;904,381
Antigua and Barbuda;2520,628;2845,441;3021,148;2938,938;2858,307
Argentina;49852,167;55123,511;62456,753;57663,812;56329,832
Armenia;432,841;217,954;397,569;421,55;719,786
Aruba;8622,905;13180,657;13312,174;12523,287;12776,758
Australia;281022,578;366601,297;389016,782;406620,753;448841,212
Austria;14588,19;23112,024;32400,708;41619,57;18939,231
Azerbaijan;897,812;1632,969;385,595;476,239;947,565
Bahamas, The;42564,973;50758,985;54854,033;56759,627;58135,374
Bahrain;6775,191;8168,884;7115,77;9044,69;9122,622
Bangladesh;59394,256;38950,297;43421,43;75778,374;197355,983
Barbados;32266,495;41615,557;39237,334;42622,142;46545,375
Belarus;423,435;441,891;313,001;281,951;677,21
Belgium;330677,334;277998,788;262244,357;294307,971;372702,981
Belize;10260,561;14650,653;16397,755;18110,551;12850,712
Benin;2666,137;105;4161,665;5448,875;10328,048
Bermuda;20954,09;22776,086;17043,781;16718,939;17943,416
Bolivia;2434,14;2281,794;3254,769;7922,751;6545,612
Bosnia and Herzegovina;663,423;2258,002;2689,07;3567,337;1626,119
Botswana;;;20,434;60,856;92,933
Brazil;249581,866;166248,422;153686,896;1366252,67;881104,855
British Indian Ocean Ter.;;;;14,566;3,695
British Virgin Islands;2306,206;7498,393;5502,924;5564,694;4338,567
Brunei;1053,607;1109,881;1498,991;1053,415;1151,056
Bulgaria;5596,781;8151,259;8325,145;12885,553;23047,403
Burkina Faso;3887,334;3372,983;7574,522;6610,88;8579,737
Burundi;2280,122;6062,664;2818,858;1843,832;
Cambodia;5674,695;5315,712;7848,569;8306,399;8367,813
Cameroon;21773,504;14385,081;11262,935;19411,913;12749,488
Canada;8247099,533;9202355,522;9441563,825;9661297,725;9865873,618
Cape Verde;2036,464;51,09;;44,27;165,843
Cayman Islands;8311,24;8521,618;11260,955;15449,096;15421,13
Central African Republic;6,483;612,308;1110,24;;10,866
Chad;6832,895;13872,482;9881,908;566,628;5029,612
Chile;190917,314;195828,944;184235,887;329324,161;242775,949
China;12327092,07;12454078,53;17722624,79;16928689,22;17357424,9
Christmas Island;;336,901;73;;
Cocos (Keeling) Islands;;;;;4157,062
Colombia;469551,831;630907,429;539606,163;747040,913;1566876,276
Comoros;;;;15,888;
Congo, Dem. Rep.;8332,817;13611,736;37706,079;4630,176;7877,108
Congo, Rep.;3917,378;17038,252;6581,389;11919,149;6990,401
Cook Islands;154,317;625,558;6,942;2,939;28,343
Costa Rica;348969,673;465766,324;416479,847;241685,868;355294,491
Cote d'Ivoire;317,519;1326,419;7926,559;7021,189;11784,626
Croatia;5779,218;9427,855;11254,012;11451,715;9811,688
Cuba;183077,658;194357,457;198505,267;96523,261;59138,201
Cura‡ao;;13048,074;8634,966;8751,865;9040,021
Cyprus;7072,15;7903,933;4690,353;6336,181;6557,867
Czech Republic;10949,593;12143,425;10154,479;17782,968;14067,919
Denmark;58855,565;84052,898;59435,199;82250,062;107638,098
Djibouti;44641,003;75269,339;63433,761;76118,66;27568,78
Dominica;4462,717;4047,335;14371,549;5284,085;3075,382
Dominican Republic;516974,89;638510,782;464328,867;366085,294;544031,019
