Partner Name;2010;2011;2012;2013;2014
 World;37542032,13;40767235,42;39837029,43;40815393,94;41167023,18
Afghanistan;7832,241;2739,908;4223,042;3059,295;3614,335
Albania;361,998;465,633;291,431;372,315;599,623
Algeria;28862,836;36614,151;34762,914;33986,942;43559,033
Andorra;29,733;13,48;17,233;7,002;5
Angola;3048,553;7506,174;5877,712;8017,868;9108,056
Anguila;1777,551;1658,199;1738,577;2053,923;3339,051
Antigua and Barbuda;8726,417;8428,759;8698,674;7433,199;8621,675
Argentina;138682,301;138433,587;110267,301;108255,331;82303,046
Armenia;267,34;183,04;74,257;138,995;349,616
Aruba;12512,394;10735,77;11373,12;14296,807;12920,945
Australia;514629,839;536552,423;529337,093;494874,896;504702,581
Austria;14048,951;21618,405;26461,142;12170,748;44209,904
Azerbaijan;224,162;478,613;577,854;1035,07;925,481
Bahamas, The;74486,447;76913,592;88890,1;95377,216;91270,362
Bahrain;9597,146;8660,82;10992,988;8275,459;9719,627
Bangladesh;13618,292;23959,08;19398,442;11107,508;13282,639
Barbados;28091,453;28465,23;24827,221;25483,177;23459,646
Belarus;593,949;259,796;678,497;341,363;822,643
Belgium;301742,113;296245,673;304862,324;413421,91;398781,572
Belize;7493,27;6677,503;7756,737;9089,484;8920,564
Benin;231,654;461,889;308,679;751,496;486,994
Bermuda;20730,495;17249,806;15349,879;17008,402;15532,342
Bhutan;39,287;;;11,027;3,149
Bolivia;3065,382;3816,236;5200,428;6239,132;6707,418
Bosnia and Herzegovina;1374,507;135,057;25,414;158,531;266,501
Botswana;500,118;183,339;216,633;153,089;260,473
Brazil;453132,996;489297,553;449952,603;417296,725;403299,457
British Indian Ocean Ter.;4,088;25,423;110,496;2,6;4,429
British Virgin Islands;8049,693;8461,092;8829,227;9594,85;10967,137
Brunei;389,648;103,816;504,894;596,706;788,335
Bulgaria;3664,306;5986,176;3839,684;3863,185;3231,487
Burkina Faso;61,468;210,35;190,435;216,438;24,668
Burundi;13,921;;89,387;99,63;20,553
Cambodia;761,112;1471,151;3248,428;4641,568;5927,257
Cameroon;6228,246;6040,974;5638,011;3230,093;5856,986
Canada;10807325,54;10928108,18;10921578,27;11021830,12;10798341,39
Cape Verde;6,199;44,558;;5,856;22,289
Cayman Islands;21320,791;17496,682;17252,189;18413,032;17369,886
Central African Republic;127,254;29,595;;6,576;42,864
Chad;86,942;28,473;38,725;86,389;117,243
Chile;228885,594;229803,783;240210,895;244944,512;226394,976
China;4956646,28;6861141,663;6358345,732;6882786,724;7016586,41
Christmas Island;75,341;155,001;24,965;341,564;
Cocos (Keeling) Islands;;86,969;;13;40,586
Colombia;267969,132;285442,066;263200,999;272530,343;259279,335
Comoros;509,504;4,9;;;
Congo, Dem. Rep.;944,452;833,973;668,988;2065,544;1515,032
Congo, Rep.;368,775;320,664;379,46;373,636;1198,641
Cook Islands;7,037;17,223;;13,085;129,017
Costa Rica;268545,621;236842,484;238016,707;264042,379;288216,986
Cote d'Ivoire;8727,724;6256,736;10169,16;7042,389;9763,459
Croatia;1459,607;3102,176;1432,857;1290,573;1149,812
Cuba;1069,25;1508,389;47,244;73,772;127,015
Cura‡ao;;16749,063;12384,434;13595,108;15210,898
Cyprus;7479,962;7151,768;5353,014;3505,799;7141,085
Czech Republic;52490,592;56100,528;56727,391;44220,969;47235,382
Denmark;34937,55;34601,905;34278,993;57079,319;42853,75
Djibouti;347,503;1727,313;552,956;673,171;1773,46
Dominica;5422,222;4965,347;5957,396;4615,812;4007,807
Dominican Republic;270550,181;265251,415;261462,1;297978,843;302343,952
East Asia & Pacific;10016022,5;12262096,87;11544976,89;12162536,35;12425573,32
East Timor;26,301;;;2,505;
Ecuador;253793,492;218910,657;215604,262;203900,517;202975,019
Egypt, Arab Rep.;172338,367;152440,288;181799,799;181853,385;188443,045
El Salvador;108046,999;125296,457;123235,292;122862,515;116738,197
Equatorial Guinea;1050,709;1164,5;1085,047;1122,619;2561,01
Eritrea;8,311;127,764;39,625;88,552;91,631
Estonia;11430,813;12978,814;10354,241;12988,281;18714,395
Ethiopia(excludes Eritrea);1121,849;805,132;1538,558;1692,619;1267,104
Europe & Central Asia;5871233,968;6055959,95;5968884,404;5903525,133;5990141,073
Faeroe Islands;163,323;194,564;19,885;298,179;104,729
Falkland Island;10,208;110,492;146,624;37,3;19,974
Fiji;245,165;336,417;406,95;376,957;946,605
Finland;29863,932;30024,103;35227,33;18343,335;24889,81
Fm Sudan;59,673;65,094;;;
Fr. So. Ant. Tr;12,575;26,822;;;
France;362336,336;307617,614;292799,625;279197,968;242485,9
French Polynesia;7679,566;8859,039;7770,619;8852,556;9002,255
Gabon;356,432;719,998;307,645;237,941;392,663
Gambia, The;33,526;136,748;127,171;17,659;138,401
Georgia;908,533;1206,825;1473,5;991,595;940,425
Germany;863846,794;810502,809;795324,944;752652,451;728970,026
Ghana;12471,171;12908,567;45305,224;16550,655;28284,005
Gibraltar;206,86;54,834;53,524;;16,978
Greece;50022,922;40926,012;32616,757;37257,4;36988,359
Greenland;3,499;2,65;11,089;3,04;6,808
Grenada;5914,473;6609,261;5402,747;6025,452;5788,472
Guatemala;212942,168;248490,238;232308,343;248821,909;265973,661
Guinea;216,568;331,262;401,867;941,059;1080,231
Guinea-Bissau;;21,209;124,063;45;
Guyana;6003,069;8167,274;9333,207;10373,094;10607,374
Haiti;52908,21;49112,824;31924,459;39186,336;32374,657
Holy See;81,923;36,718;97,521;10;12,12
Honduras;143474,978;169781,585;170723,993;160041,856;161347,94
Hong Kong, China;253922,518;242910,676;239206,041;241169,832;234087,341
Hungary;11348,284;12627,718;20715,479;15305,93;15943,581
Iceland;3398,519;3304,011;3037,938;2899,653;6341,039
India;651935,534;850964,276;775716,777;762077,502;902531,634
Indonesia;275065,358;279390,329;268056,761;312052,672;390095,726
Iran, Islamic Rep.;36743,58;58047,655;26728,037;39742,722;27526,104
Iraq;1243,171;1333,435;1664,337;1715,979;2647,836
Ireland;53541,577;56643,982;58427,729;55782,824;70690,22
Israel;167231,452;159004,325;137770,062;138264,05;146555,559
Italy;925940,58;932999,933;769388,945;804021,691;705635,674
Jamaica;75493,069;80078,354;79422,342;80946,393;84192,387
Japan;2015961,26;2237545,607;2180605,694;2239371,053;2184781,712
Jordan;35210,166;32961,918;27972,675;27001,489;27005,963
Kazakhstan;940,739;883,862;729,305;1326,917;1119,571
Kenya;13289,331;22808,459;14818,568;16256,66;20903,757
Kiribati;46,237;33,904;27,978;28,945;56,236
Korea, Dem. Rep.;;11,51;;;3,64
Korea, Rep.;942521,172;971628,159;851045,36;866202,511;890404,826
Kuwait;17454,462;19750,469;17334,935;17541,136;21161,332
Kyrgyz Republic;278,275;43,589;29,461;92,602;1136,987
Lao PDR;140,591;47,249;140,563;74,261;
Latin America & Caribbean;8360258,437;8653178,283;8744506,397;9007791,455;9071995,902
Latvia;3244,932;4382,616;2923,442;3634,58;3190,153
Lebanon;51797,749;57506,04;52069,482;41203,876;44874,823
Lesotho;11,093;;58,627;15,309;11,404
Liberia;1543,809;1572,211;2932,875;677,836;1059,811
Libya;13875,058;3227,751;12198,579;21194,424;9942,307
Lithuania;3974,039;5389,148;6334,724;7397,095;7914,387
Luxembourg;3102,1;4774,182;3679,586;2920,567;3862,481
Macao;2234,393;2088,707;2937,059;1940,99;2466,119
Macedonia, FYR;30,338;216,963;132,46;155,827;210,53
Madagascar;100,79;891,178;847,947;642,382;673,43
Malawi;921,737;955,107;693,355;1040,815;145,414
Malaysia;171118,842;181654,48;171210,546;160295,353;170893,6
Maldives;107,941;37,251;137,521;125,478;611,075
Mali;104,449;109,123;48,868;23,019;219,166
Malta;4042,234;4322,385;2919,336;3035,142;3299,163
Marshall Islands;2091,864;2598,763;1994,907;2175,6;2759,099
Mauritania;65,03;879,728;621,414;262,986;221,968
Mauritius;2982,226;2964,956;2914,833;2621,714;2826,054
Mayotte;222,252;235,246;215,034;201,545;
Mexico;5197405,2;5355485,486;5529821,421;5736148,976;5828537,536
Micronesia, Fed. Sts.;2252,117;2003,959;2109,952;1629,944;1401,947
Middle East & North Africa;957673,498;1050013,301;984714,285;994553,606;1007245,216
Moldova;34,028;49,942;182,602;193,492;139,712
Mongolia;351,365;453,663;405,545;268,572;404,18
Montenegro;38,675;237,487;60;23,411;119,296
Montserrat;345,127;423,681;775,169;660,302;649,103
Morocco;34024,523;45977,513;42039,921;51726,011;57235,922
Mozambique;968,022;1076,249;460,805;263,273;226,483
Myanmar;241,818;67,72;551,175;1458,42;2647,713
Namibia;627,609;129,593;254,354;557,276;1335,758
Nepal;724,595;281,44;214,162;354,132;294,867
Netherlands;608704,035;706240,212;673836,638;504113,421;491608,524
Netherlands Antilles;28384,298;;;;
New Caledonia;283,581;121,71;373,304;1099,438;544,581
New Zealand;67409,463;69664,323;76785,531;71099,624;70519,908
Nicaragua;22044,66;28641,736;26693,257;32535,092;33440,668
Niger;92,443;61,446;33,269;62,925;55,505
Nigeria;64626,076;85200,345;50013,942;64459,232;63949,689
Niue;;;;;12
Norfolk Island;20,619;;;;
North America;10828056,04;10945357,98;10936928,15;11038838,52;10813873,73
Norway;16311,555;16639,236;18998,905;24845,108;22638,623
Occ.Pal.Terr;14,945;3,152;354,597;8,725;93,603
Oman;8501,498;6507,895;5079,753;8345,542;8211,757
Other Asia, nes;469493,333;503562,129;478749,431;543347,472;511386,234
Pakistan;46276,315;59174,849;57277,495;78684,357;77610,531
Palau;713,302;1017,249;1077,796;1567,43;1607,297
Panama;89505,861;88837,25;96446,912;88433,007;86584,025
Papua New Guinea;843,155;995,751;908,04;1877,274;1096,777
Paraguay;5410,001;7865,589;7317,138;7956,972;5837,955
Peru;147970,585;155706,679;179291,175;178552,711;181290,984
Philippines;195255,868;218050,36;195802,615;196670,179;202601,378
Poland;110406,072;106638,21;94417,178;107464,444;121322,345
Portugal;65914,52;70725,393;55287,425;48965,587;57606,906
Qatar;15335,243;18017,409;16212,894;15405,094;16108,34
Romania;3063,666;6541,102;7153,876;7075,174;8926,996
Russian Federation;53772,66;92860,688;72552,089;82141,137;77171,905
Rwanda;473,434;271,051;135,387;355,985;212,779
Saint Helena;23,36;;14,515;;55,337
Saint Pierre and Miquelon;;86,182;;;
Samoa;346,93;595,765;889,504;3216,415;797,509
San Marino;671,848;100,987;71,553;56,8;
Sao Tome and Principe;10,996;94;13,762;4,342;
Saudi Arabia;189100,932;256853,129;225885,731;215997,189;199211,169
Senegal;2804,823;3960,732;2873,585;6687,973;7183,395
Serbia, FR(Serbia/Montenegro);1731,102;2081,432;1525,651;1636,276;1319,78
Seychelles;57,879;55,324;46,106;107,742;248,577
Sierra Leone;211,788;344,022;595,254;472,07;345,316
Singapore;179270,876;191834,97;177040,54;174286,71;158769,485
Sint Maarten;;6993,932;10418,199;10988,016;11229,818
Slovak Republic;10677,69;2955,113;2095,14;3020,852;2322,889
Slovenia;4511,375;3782,356;4180,174;4166,477;2559,939
Solomon Islands;3,859;35,24;43,195;29,189;2,988
Somalia;;134,377;65,55;67,101;40
South Africa;137728,038;154506,92;128980,101;128913,434;132003,014
South Asia;731055,863;949550,48;866674,749;864201,486;1008096,524
South Sudan;;;100,741;371,485;40,375
Spain;343173,881;369145,397;321410,98;291098,206;326877,186
Sri Lanka;10521,658;12393,676;9707,31;8782,187;10148,294
St. Kitts and Nevis;10200,827;5844,149;5918,236;8536,545;8089,805
St. Lucia;12902,381;14372,406;11430,68;11101,758;11330,065
St. Vincent and the Grenadines;8980,737;6745,336;6820,587;7652,933;5885,984
Sub-Saharan Africa;268949,803;319373,541;286763,932;274055,279;307921,921
Sudan;;;52,509;12,641;9,71
Suriname;3073,032;3818,196;4411,252;3373,089;3793,099
Swaziland;61,252;88,463;2656,169;1023,943;353,39
Sweden;107185,707;121889,306;111034,979;96306,233;100816,551
Switzerland;66458,845;64294,32;89820,982;89775,525;64620,18
Syrian Arab Republic;653,501;381,386;118,63;;
Tajikistan;232,192;602,759;437,848;1157,454;11,558
Tanzania;3360,221;2802,824;1880,819;3020,206;8242,747
Thailand;196560,512;211485,275;206461,853;198362,286;217374,383
Togo;182,084;253,845;239,69;292,302;550,078
Tokelau;44,351;;34;;116,306
