Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2010;2011;2012;2013;2014
Slovenia;Afghanistan;Import;Fuels;Import (US$ Thousand);;;;;0,006
Slovenia;Albania;Import;Fuels;Import (US$ Thousand);;;89,518;74,155;555,345
Slovenia;Algeria;Import;Fuels;Import (US$ Thousand);139138,883;114708,713;97941,631;29399,506;32204,93
Slovenia;Andorra;Import;Fuels;Import (US$ Thousand);2,418;;;;
Slovenia;Argentina;Import;Fuels;Import (US$ Thousand);;7,935;12,946;0,363;0,073
Slovenia;Australia;Import;Fuels;Import (US$ Thousand);0,823;1,024;3,813;;299,132
Slovenia;Austria;Import;Fuels;Import (US$ Thousand);235042,048;329145,874;461180,242;438979,171;471495,113
Slovenia;Bahrain;Import;Fuels;Import (US$ Thousand);;;65684,935;;
Slovenia;Belarus;Import;Fuels;Import (US$ Thousand);85,973;1118,897;1516,691;188,627;152,47
Slovenia;Belgium;Import;Fuels;Import (US$ Thousand);16379,73;17954,301;33060,852;30173,447;24005,418
Slovenia;Bosnia and Herzegovina;Import;Fuels;Import (US$ Thousand);6632,029;4988,405;4823,51;3785,018;10855,221
Slovenia;Brazil;Import;Fuels;Import (US$ Thousand);;;;;0,252
Slovenia;British Virgin Islands;Import;Fuels;Import (US$ Thousand);0,025;;;;
Slovenia;Bulgaria;Import;Fuels;Import (US$ Thousand);95457,511;102867,207;98261,332;32556,899;293,057
Slovenia;Canada;Import;Fuels;Import (US$ Thousand);56,583;85,92;116,947;31697,439;519,673
Slovenia;China;Import;Fuels;Import (US$ Thousand);33,08;1168,37;176,164;63,38;982,484
Slovenia;Colombia;Import;Fuels;Import (US$ Thousand);;;;1025,236;1044,272
Slovenia;Croatia;Import;Fuels;Import (US$ Thousand);109389,629;199631,017;241851,145;379993,092;214720,402
Slovenia;Cyprus;Import;Fuels;Import (US$ Thousand);230,393;94622,554;12485,693;318,49;
Slovenia;Czech Republic;Import;Fuels;Import (US$ Thousand);21963,181;53369,795;64094,573;53421,469;35722,661
Slovenia;Denmark;Import;Fuels;Import (US$ Thousand);630,154;1268,959;3639,649;814,451;731,078
Slovenia;Ecuador;Import;Fuels;Import (US$ Thousand);;2,158;;;1,235
Slovenia;Egypt, Arab Rep.;Import;Fuels;Import (US$ Thousand);43452,749;;;14856,15;35063,618
Slovenia;Estonia;Import;Fuels;Import (US$ Thousand);0,081;70,652;12,366;124,09;101,224
Slovenia;Finland;Import;Fuels;Import (US$ Thousand);153,132;83,926;171,221;108,929;69,856
Slovenia;France;Import;Fuels;Import (US$ Thousand);54606,523;72413,936;40639,765;10792,741;8102,1
Slovenia;Georgia;Import;Fuels;Import (US$ Thousand);;;0,04;;
Slovenia;Germany;Import;Fuels;Import (US$ Thousand);80228,971;202326,564;247591,608;147257,737;82859,553
Slovenia;Greece;Import;Fuels;Import (US$ Thousand);26299,954;130098,287;93144,713;135686,161;41232,745
Slovenia;Guyana;Import;Fuels;Import (US$ Thousand);;;;6,993;
Slovenia;Hungary;Import;Fuels;Import (US$ Thousand);194122,171;222242,966;209489,401;219274,616;179374,398
Slovenia;India;Import;Fuels;Import (US$ Thousand);114680,284;138108,496;104367,645;124020,601;19513,424
Slovenia;Indonesia;Import;Fuels;Import (US$ Thousand);42603,083;42547,625;56923,83;40109,133;35836,539
Slovenia;Ireland;Import;Fuels;Import (US$ Thousand);;;0,07;0,025;0,16
Slovenia;Israel;Import;Fuels;Import (US$ Thousand);116987,848;137,086;142,456;160,935;41038,49
Slovenia;Italy;Import;Fuels;Import (US$ Thousand);995469,714;1389732,685;1638960,963;1111366,445;1062654,597
Slovenia;Japan;Import;Fuels;Import (US$ Thousand);47,264;76,388;101,652;62,703;62,266
Slovenia;Kazakhstan;Import;Fuels;Import (US$ Thousand);9203,423;9201,792;13906,183;3367,721;6000,812
Slovenia;Kenya;Import;Fuels;Import (US$ Thousand);;;;0,104;0,028
Slovenia;Korea, Dem. Rep.;Import;Fuels;Import (US$ Thousand);0,003;;;;0,011
Slovenia;Korea, Rep.;Import;Fuels;Import (US$ Thousand);144,464;43,638;27,947;94,164;24964,496
Slovenia;Kuwait;Import;Fuels;Import (US$ Thousand);27086,388;33569,115;242,879;;39712,1
Slovenia;Latvia;Import;Fuels;Import (US$ Thousand);16,201;31,746;99,977;239,369;1033,313
Slovenia;Libya;Import;Fuels;Import (US$ Thousand);33343,734;;;13331,542;
Slovenia;Lithuania;Import;Fuels;Import (US$ Thousand);450,454;872,28;937,608;3105,151;3721,836
Slovenia;Luxembourg;Import;Fuels;Import (US$ Thousand);27801,575;24650,672;38877,372;29328,849;62,149
Slovenia;Macedonia, FYR;Import;Fuels;Import (US$ Thousand);0,238;0,18;0,205;35,929;
Slovenia;Malaysia;Import;Fuels;Import (US$ Thousand);234,991;225,658;264,476;102,034;98,843
Slovenia;Malta;Import;Fuels;Import (US$ Thousand);0,044;0,077;0,026;11545,248;3327,644
Slovenia;Mexico;Import;Fuels;Import (US$ Thousand);;0,057;0,149;0,213;0,798
Slovenia;Netherlands;Import;Fuels;Import (US$ Thousand);4787,247;50821,982;5322,943;6825,273;7744,391
Slovenia;Niger;Import;Fuels;Import (US$ Thousand);;;;0,311;51,121
Slovenia;Norway;Import;Fuels;Import (US$ Thousand);99,47;66,01;38,456;36,222;26,198
Slovenia;Other Asia, nes;Import;Fuels;Import (US$ Thousand);0,326;0,251;9,03;1,016;6,289
Slovenia;Philippines;Import;Fuels;Import (US$ Thousand);;;;;0,045
Slovenia;Pitcairn;Import;Fuels;Import (US$ Thousand);;;;;0,242
Slovenia;Poland;Import;Fuels;Import (US$ Thousand);8272,228;12207,912;10228,049;11390,119;18773,293
Slovenia;Portugal;Import;Fuels;Import (US$ Thousand);;;;0,82;
Slovenia;Qatar;Import;Fuels;Import (US$ Thousand);;19725,293;30124,391;;74232,039
Slovenia;Romania;Import;Fuels;Import (US$ Thousand);1891,427;20504,245;3814,016;36283,785;7587,255
Slovenia;Russian Federation;Import;Fuels;Import (US$ Thousand);260854,854;443460,29;364030,996;495014,354;473043,425
Slovenia;Saudi Arabia;Import;Fuels;Import (US$ Thousand);;30768,499;125472,069;76623,792;36247,008
Slovenia;Senegal;Import;Fuels;Import (US$ Thousand);;;;2,741;
Slovenia;Serbia, FR(Serbia/Montenegro);Import;Fuels;Import (US$ Thousand);1812,64;6392,604;6822,937;26978,069;23848,898
Slovenia;Singapore;Import;Fuels;Import (US$ Thousand);;;29997,246;;
Slovenia;Slovak Republic;Import;Fuels;Import (US$ Thousand);5031,525;9167,464;9187,907;8757,879;7153,339
Slovenia;Slovenia;Import;Fuels;Import (US$ Thousand);40,722;18,077;9,063;48,109;16,782
Slovenia;South Africa;Import;Fuels;Import (US$ Thousand);6,908;35,146;35,451;;94,596
Slovenia;Spain;Import;Fuels;Import (US$ Thousand);15371,559;61563,57;35089,186;64250,34;89585,35
Slovenia;Sweden;Import;Fuels;Import (US$ Thousand);307,383;1618,174;1344,406;1479,931;1480,359
Slovenia;Switzerland;Import;Fuels;Import (US$ Thousand);130349,87;45002,818;3302,735;47476,093;55388,534
Slovenia;Thailand;Import;Fuels;Import (US$ Thousand);5,034;0,31;31024,901;0,005;0,034
Slovenia;Turkey;Import;Fuels;Import (US$ Thousand);6758,64;36892,743;887,5;217,73;334,285
Slovenia;Ukraine;Import;Fuels;Import (US$ Thousand);778,843;941,845;914,614;854,164;1385,818
Slovenia;United Arab Emirates;Import;Fuels;Import (US$ Thousand);;13010,946;;31694,084;
Slovenia;United Kingdom;Import;Fuels;Import (US$ Thousand);12850,169;51937,068;24929,458;19636,109;12221,138
Slovenia;United States;Import;Fuels;Import (US$ Thousand);87347,311;409226,543;182257,051;291496,323;127797,653
Slovenia;United States Minor Outlying I;Import;Fuels;Import (US$ Thousand);;0,08;;;
Slovenia;Unspecified;Import;Fuels;Import (US$ Thousand);472193,116;363381,745;456933,661;448080,625;572643,058
Slovenia;Uruguay;Import;Fuels;Import (US$ Thousand);;;0,109;;2,642
Slovenia;Uzbekistan;Import;Fuels;Import (US$ Thousand);;75,93;;;
Slovenia;Venezuela;Import;Fuels;Import (US$ Thousand);25839,386;1454,659;93,543;;
Slovenia;Vietnam;Import;Fuels;Import (US$ Thousand);;0,004;;;
Slovenia;Western Sahara;Import;Fuels;Import (US$ Thousand);;;;;0,113
