Partner Name;2010;2011;2012;2013;2014
Afghanistan;85247,75;26139,389;36759,941;45514,058;72015,255
Albania;30242,623;26387,904;18856,919;22776,586;68968,81
Algeria;14517955,93;14609285,37;9993334,569;4830871,545;4628887,168
Andorra;471,769;600,673;428,818;1404,73;1238,19
Angola;11939571,87;13597473,43;9823874,266;8742942,417;5719807,202
Anguila;2546,333;4831,62;3574,428;4033,764;5330,592
Antigua and Barbuda;5478,8;6546,979;9640,118;9606,755;7838,456
Argentina;3802749,357;4502877,176;4350415,071;4642247,609;4242971,786
Armenia;75477,021;92578,996;88565,24;101155,685;96283,701
Aruba;19460,603;3261493,236;826770,063;41861,658;60303,512
Australia;8503856,096;10045091,33;9358158,834;8900155,828;10448781,1
Austria;6744194,931;9292107,145;9318123,991;9598814,012;10640760,11
Azerbaijan;1988547,744;2424516,997;1094919,275;1136157,099;1011903,492
Bahamas, The;814579,673;764789,491;563033,044;598974,355;531906,293
Bahrain;420269,926;518411,567;701010,977;635587,426;965390,522
Bangladesh;4293920,187;4877104,938;4915569,502;5353438,618;5277621,751
Barbados;42813,787;46467,359;54133,58;55377,376;51069,491
Belarus;174532,251;362526,951;153440,844;104889,262;131362,339
Belgium;15532966,12;17426301,85;17366742,38;19011553,03;20884607,34
Belize;120183,702;190538,867;161832,1;127129,431;96842,554
Benin;268,533;1970,887;2673,58;3128,498;5408,147
Bermuda;22450,895;59894,983;83778,187;60814,6;36615,711
Bhutan;390,84;518,691;568,747;538,582;294,32
Bolivia;680149,213;901220,372;1682149,383;1251391,005;1934752,876
Bosnia and Herzegovina;25578,376;49691,067;51579,899;57733,704;83296,104
Botswana;169719,159;293169,506;221039,055;277714,441;317967,504
Brazil;23957863,72;31736514,45;32123374,96;27630989,08;30536537,88
British Indian Ocean Ter.;1445,793;5912,974;19452,854;17739,892;13984,205
British Virgin Islands;19032,108;6334,475;13451,702;6361,995;10827,441
Brunei;11874,902;23414,888;86299,78;17184,938;31806,031
Bulgaria;259612,598;415736,901;509430,226;513729,166;604379,477
Burkina Faso;2378,915;3605,288;2303,644;6108,975;6209,129
