Partner Name;2010;2011;2012;2013;2014
Afghanistan;74,598;24,361;4,64;7,42;175
Albania;7,704;37,885;13,929;101,96;158,606
Algeria;17,667;3079,86;137,324;170,314;41172,673
Angola;;;8270,884;;
Anguila;;;139,252;;
Antigua and Barbuda;;30,474;36,998;;
Argentina;266644,433;321533,583;279477,807;754070,915;457240,324
Armenia;31,003;48,877;121,207;17,293;57,138
Aruba;94,214;183,275;503,972;1103,307;512,141
Australia;940020,381;1073385,488;939693,887;942867,913;835380,722
Austria;1205474,23;1414745,774;1533617,21;1491097,97;1544200,922
Azerbaijan;950,514;4869,37;698,052;162,677;
Bahamas, The;796,412;407,805;2169,612;1554,159;589,9
Bahrain;137280,433;199962,1;190885,471;129974,553;193238,631
Bangladesh;6763,402;277,488;491,891;799,714;928,182
Barbados;297,381;42,038;4,566;806,097;33,073
Belarus;4957,769;27421,834;4977,285;3717,992;5598,424
Belgium;4921762,641;4495531,833;3615108,213;4768869,127;5942641,74
Belize;1908,518;2772,665;4212,054;1506,713;2514,612
Benin;29,017;37,765;33,027;32,164;38,556
Bermuda;35,815;53,058;49,534;15,72;30,943
Bolivia;25566,13;19821,587;19263,634;30326,839;20358,366
Bosnia and Herzegovina;422,88;573,824;895,701;1291,948;2879,712
Botswana;33,04;32,247;;33,158;
Brazil;1508454,817;1726100,545;1713117,87;1658189,055;1693276,284
British Virgin Islands;271,138;504,028;;14,6;158,308
Brunei;2582,937;8252,861;2706,668;6946,188;16138,238
Bulgaria;36091,191;33662,008;69604,717;58596,313;81159,257
Burkina Faso;;6;22,35;111,33;
Cambodia;115,639;;;9,674;223,623
Cameroon;54,85;62,777;222,073;185,497;220,149
Canada;18398731,03;21148785,39;19842139,47;19888199,31;19789197,33
Cayman Islands;6,96;30,234;33,081;3752,313;75,282
Chad;1138,946;;2,684;5,124;
Chile;295166,134;465220,607;554862,184;442650,003;449485,915
China;9519570,655;12310178,22;12460776,11;12640668,44;13665978,5
Christmas Island;;14,438;;;
Cocos (Keeling) Islands;;;;21,215;
Colombia;105851,689;100277,012;114675,706;138310,204;166222,2
Comoros;58,154;;10,327;45,073;78,058
Congo, Dem. Rep.;532,249;1075,826;1222,978;2868,68;6040,646
Congo, Rep.;64,903;;;1202,342;
Cook Islands;15,209;;8;;
Costa Rica;18109,247;33862,718;12982,609;11446,77;11231,766
Cote d'Ivoire;1794,252;1366,35;1073,131;1363,02;2417,949
Croatia;120912,08;223996,716;237047,411;183960,84;205453,621
Cura‡ao;;5266,198;7157,579;8976,619;11029,337
Cyprus;259,495;422,559;187,507;252,34;2193,741
Czech Republic;188423,225;286257,551;301860,367;324677,409;334313,549
Denmark;2169935,252;2557337,051;3107815,295;3230879,449;3712021,915
Djibouti;;22,353;8,422;;
Dominica;667,593;571,845;400,526;595,348;432,755
Dominican Republic;56362,671;61190,197;55197,072;54749,155;69132,578
Ecuador;2026,07;2971,773;2188,34;1460,429;4241,022
Egypt, Arab Rep.;248873,411;375059,236;331189,859;153003,007;91355,634
El Salvador;1664,412;2797,289;2639,266;3388,843;2178,334
Equatorial Guinea;136623,343;121811,326;101615,763;124035,956;121333,414
Estonia;49597,782;131330,972;34799,936;41286,111;30778,391
Ethiopia(excludes Eritrea);43,118;28,326;50,363;70,625;41,64
Faeroe Islands;6;;;;127,743
Fiji;1619,706;1062,77;1259,008;2090,753;2249,746
Finland;722189,267;831218,312;846517,998;818338,057;979348,858
France;8688276,525;7548375,044;7166654,352;6871332,202;7087985,988
French Polynesia;116,429;177,179;224,693;245,364;277,587
Gabon;43,168;;;128,398;
Gambia, The;5,25;;;;
Georgia;43411,839;46721,097;94627,097;50115,325;44846,407
Germany;13366413,04;15403826,5;18001707,84;18731342,59;21481191,39
Ghana;1607,411;1857,462;896,155;856,44;1114,079
Gibraltar;282,984;;;;
Greece;12164,072;10682,443;10976,914;8923,886;15223,205
Grenada;4,852;;4,768;11,329;2,52
Guatemala;20513,604;19413,699;17234,335;25783,174;22389,773
Guinea;27,493;35,594;47,2;52,888;3,613
Guyana;1487,573;226,401;2298,726;322,829;289,267
