Partner Name;2010;2011;2012;2013;2014
Albania;;;;;41422,169
Algeria;14509510,18;14598692,52;9988228,392;4820465,86;4579766,488
Angola;11814420,75;13426150,37;9716989,453;8719269,791;5705269,24
Antigua and Barbuda;;;;1134;
Argentina;1183036,613;1180216,522;1090609,109;642875,416;1083703,406
Aruba;4125,994;3235073,042;781894,658;7844,224;3,95
Australia;269162,843;396449,184;250999,935;81764,687;64275,51
Austria;1682,705;5782,636;10345,375;8546,363;7914,47
Azerbaijan;1983232,822;2416122,562;1086403,666;1131447,47;1007368,513
Bahamas, The;476330,456;422508,485;88170,263;92270,203;88895,687
Bahrain;;29,292;120377,326;94657,411;164481,449
Belarus;111977,561;264258,163;67186,82;7559,305;75,926
Belgium;2329149,491;2214444,375;2473418,781;2790112,451;3233493,489
Belize;67433,758;124543,644;103052,817;70896,655;27275,556
Bermuda;8110,53;2,2;76,255;5,475;19,89
Bolivia;203849,461;216946,976;121631,227;27381,402;85,7
Bosnia and Herzegovina;;10171,587;5619,241;4907,485;3384,177
Brazil;7929206,415;10518269,75;9400306,379;5782412,594;6386839,667
British Virgin Islands;;453;43,2;;
Brunei;;;74538,698;;
Bulgaria;3,263;63100,542;61787,682;60,996;13822,294
Cameroon;217703,094;211657,948;187369,694;270166,263;99094,308
Canada;83994352,25;101946662,1;103655361,7;109575472,4;117044308,4
Cayman Islands;2,155;;;;
Chad;2032175,78;3165746,95;2651303,062;2447185,411;2318210,858
Chile;74524,49;58501,995;68535,266;80433,009;46919,495
China;487501,654;349226,293;301679,539;365276,352;436190,884
Colombia;10486082,49;16846477,49;17667480,41;15386437,39;11964231,78
Congo, Dem. Rep.;504534,962;580077,198;6233,328;;
Congo, Rep.;3281700,979;2391360,894;1454149,496;1092923,402;389297,937
Costa Rica;19411,518;;89,5;9,69;12,598
Cote d'Ivoire;291504,555;228777,698;224966,086;56077,885;115007,926
Croatia;7274,51;4575,303;5289,631;4530,096;6,351
Cura‡ao;;761957,73;373034,598;320304,007;271394,14
Cyprus;2,93;;8,18;3;60,977
Czech Republic;6,141;2,017;86,441;4095,926;2392,886
Denmark;42384,915;91467,971;48154,678;65651,198;101604,754
Dominican Republic;15601,416;48518,937;62572,872;66430,23;114006,287
Ecuador;5654596,937;7459502,829;7088371,72;8844069,598;7284587,007
Egypt, Arab Rep.;757074,478;356058,364;1375323,358;198860,747;1278,091
El Salvador;10832,532;1046,847;1034,582;1096,677;999,195
Equatorial Guinea;2072298,511;1059441,63;1589197,098;763200,849;121741,758
Estonia;23039,947;88395,915;27862,466;12951,635;386,375
Ethiopia(excludes Eritrea);;;;;2,54
Finland;268529,961;537372,413;997982,814;765824,673;733308,983
France;1270731,011;1816605,828;1810889,743;1991408,504;1588931,387
Gabon;2124035,627;4448511,895;1804956,095;999983,332;707317,333
Georgia;17131,762;;;10709,56;183440,587
Germany;307074,912;335882,477;322511,887;429058,301;429094,129
Ghana;24043,211;440836,327;45071,178;115917,144;
Gibraltar;;;192,852;;
Greece;48640,966;21424,377;48673,662;25077,303;8409,124
Guatemala;233398,123;314667,208;336222,978;253299,289;225855,225
Guyana;5,547;;;;
Haiti;3;;14,712;53,235;36,55
Honduras;5,208;22,232;;;5,154
Hong Kong, China;10402,67;122,523;2228,446;18;14030,18
Hungary;1059,474;931,228;381,792;774,636;300,264
India;2324110,054;3187442,17;3261433,312;3934929,217;4600493,75
Indonesia;1123167,483;846863,5;338535,472;886609,477;799300,518
Iraq;12131505,55;16940170,35;19258820,73;13292445,11;13702371,27
Ireland;106843,091;60387,004;303,314;61763,478;304622,318
Israel;173553,563;33098,382;108558,231;23323,704;22462,661
Italy;1503029,484;2022993,074;1913274,218;1120837,898;542159,092
Jamaica;24010,354;2426,095;3533,296;2,835;93,859
Japan;638595,935;588552,654;617081,07;675098,981;510230,487
Jordan;;;10;;
Kazakhstan;1228591,569;888805,326;995352,814;1011710,47;865470,302
Kenya;50,416;;29,386;;
Korea, Rep.;2415563,765;2660984,621;3071469,369;3018466,663;3040538,739
Kuwait;5188317,154;7608473,265;12723306,71;12442979,05;11203090,24
Kyrgyz Republic;1143,438;;;;
Lao PDR;;;;2,4;
Latvia;27224,781;92589,85;19339,834;5589,673;7011,938
Lebanon;23,806;;;;
Liberia;25456,268;;14,45;26,751;90,886
Libya;2074329,626;618614,575;2491606,927;2528845,103;208949,366
Lithuania;476416,864;714895,635;829330,301;1248238,958;749423,083
Luxembourg;12,355;;20,036;11,456;8,358
Malaysia;261543,605;169459,073;125748,575;115125,001;39679,129
Malta;;6,057;9731,771;;4816,986
Marshall Islands;;;3,3;;63,807
Mauritania;52185,738;;;129355,999;97521,934
Mexico;33576993,17;43908938,7;39824536,2;34780875,77;30253394,99
Morocco;;53400,27;;;
Mozambique;;9,899;2,2;;
