Partner Name;2010;2011;2012;2013;2014
Afghanistan;10;;6;;
Algeria;810,902;;12,8;211;4,74
Angola;;2,66;2,673;2,7;75
Antigua and Barbuda;11,5;11,5;112,483;87,512;209,862
Argentina;1093,807;16765,375;13601,812;24990,845;13890,177
Armenia;487,674;;;;
Aruba;;;;;10
Australia;450282,15;645127,833;710533,306;650588,653;588812,029
Austria;2030,205;1547,867;7447,686;3592,758;2010,303
Bahamas, The;33685,746;25928,091;24623,057;42765,822;49839,297
Bahrain;120,89;;;;
Bangladesh;3,907;;;;
Barbados;11,403;3,36;;;3
Belarus;57,645;135,996;54,648;;39,16
Belgium;6504,023;7562,693;5707,317;4776,072;6030,989
Belize;3,287;;;;
Bermuda;2,5;;49,4;;
Bolivia;19228,357;21946,525;47393,326;38826,98;34795,113
Bosnia and Herzegovina;2,396;3,147;2,386;2,286;6,747
Botswana;;;;30,925;
Brazil;289899,526;249776,618;301807,565;334324,592;500637,072
British Virgin Islands;;;;;12
Bulgaria;15,59;;;12,875;88,345
Cameroon;;3,989;;16,724;
Canada;1570165,8;2014454,929;1986044,405;1682291,967;1860723,23
Cayman Islands;;;4,995;3,5;7
Chile;211514,25;264389,299;172048,712;96785,457;227993,476
China;372638,836;489294,116;464116,001;411006,524;475117,416
Colombia;22239,087;14368,753;10593,624;2681,165;3197,533
Congo, Dem. Rep.;;;10,133;5,797;1464,984
Congo, Rep.;;;;1684,713;
Costa Rica;;22,695;18,795;82,899;5,73
Cote d'Ivoire;;5,5;98,08;7,325;19,38
Croatia;9482,717;12027,444;7934,735;8786,641;9640,556
Cura‡ao;;11,5;;300,939;12843,316
Cyprus;1319,791;1121,859;1128,496;1311,736;2038,219
Czech Republic;97,847;161,772;120,752;71,004;143,174
Denmark;10042,572;8096,909;12561,084;12742,783;11221,635
Djibouti;3;;;3,2;
Dominican Republic;17467,731;5658,549;5335,903;3883,896;3495,951
Ecuador;;7,25;252,25;2533,896;12,278
Egypt, Arab Rep.;10787,536;17236,109;20927,531;15853,591;34050,205
El Salvador;65,365;44,658;7,92;7,92;15,84
Equatorial Guinea;20;18;;2,315;2,4
Estonia;;11,461;;;
Ethiopia(excludes Eritrea);;3;4506,495;5;5534,185
Faeroe Islands;;41,3;;;
Fiji;;;;;84,331
Finland;1624,793;2048,154;1172,464;1513,918;2448,835
France;43486,197;42388,593;45622,75;49193,298;47158,375
Gabon;70667,821;98515,719;67007,534;93503,393;62466,169
Georgia;14417,59;;;229,543;
Germany;25377,584;14839,332;21665,479;17079,598;25927,299
Ghana;5082,067;;1325,856;3826,116;14,6
Greece;38691,95;24751,93;49274,303;51459,451;59061,648
Guatemala;4099,601;474,999;351,931;178,889;151,257
Guinea;62373,978;69607,831;93379,359;86401,785;77036,216
Guyana;24983,139;27715,123;39448,325;44025,586;39551,096
Haiti;;;;;10,44
Honduras;1644,01;3228,47;2519,338;3970,987;9056,69
Hong Kong, China;5408,354;3485,837;5077,813;4693,37;7964,563
Hungary;;249,567;489,12;554,08;253,746
Iceland;539,772;;380,082;427,278;78,56
India;32858,719;33458,52;57524,4;42961,185;63390,84
Indonesia;143,009;122,801;1833,908;126,734;216,514
Iraq;;2,56;9,6;6;
Ireland;34,986;241,265;3185,718;6237,674;5000,165
Israel;19767,82;20291,049;24568,475;20902,668;23747,168
Italy;24365,146;27378,906;25626,024;24152,693;20034,818
Jamaica;57874,297;119288,267;129142,703;129494,942;130735,318
Japan;37763,965;46167,886;48892,192;42915,579;49044,533
Jordan;54,698;23,559;;21,821;
Kazakhstan;237882,323;166869,758;80059,728;49173,546;99087,479
Kenya;;3,5;32,243;46,154;16149,632
