Partner Name;2010;2011;2012;2013;2014
 World;56929625,97;67631689,86;70922011,73;71892577,49;75819863,79
Afghanistan;7,276;13,327;;17,031;332,872
Albania;0,48;5,759;5,515;47,694;
Algeria;1,38;2,226;0,951;1,653;1,589
Andorra;14,743;;2,174;;
Angola;;7,229;;135,495;62,936
Anguila;18,332;15,641;36,376;;68,172
Antigua and Barbuda;9,902;0,892;13,218;19,163;1,205
Argentina;64116,821;58589,502;47385,386;44013,353;45050,542
Armenia;1023,02;5,5;78,415;46,122;6,15
Aruba;9,322;16,82;7,213;50,853;3,872
Australia;86092,393;121175,932;128301,808;73877,195;63550,801
Austria;219081,649;240308,635;247694,84;255902,315;246757,329
Azerbaijan;;2,001;0,297;1,464;39,727
Bahamas, The;97349,146;125140,594;137285,279;148497,277;161675,349
Bahrain;28,332;4,656;95,089;1450,591;31542,286
Bangladesh;11368,915;12014,62;13404,421;13990,784;13465,725
Barbados;17,586;13,83;41,947;39,63;70,725
Belarus;1631,735;8016,176;1619,142;1004,605;419,568
Belgium;342402,26;398232,017;396949,836;421206,244;537742,152
Belize;117,629;69,035;75,597;125,994;249,927
Bermuda;2,772;1,12;5,725;2,05;3
Bolivia;1244,173;1337,474;1347,25;2489,711;1916,288
Bosnia and Herzegovina;1,861;122,641;103,739;45,348;1076,447
Botswana;7,954;188,49;50,798;0,777;
Brazil;673239,7;774282,471;756142,941;565597,485;581714,933
British Indian Ocean Ter.;3,588;3,595;;0,481;
British Virgin Islands;66,579;278,616;124,961;19,887;2,542
Brunei;100,387;20,139;33,323;;0,397
Bulgaria;3975,858;6567,244;6463,401;6803,737;12916,687
Burkina Faso;;0,367;;;2,163
Cambodia;13478,273;15410,292;19515,603;20683,381;32014,321
Cameroon;20670,308;34951,081;30830,937;24882,763;14310,456
Canada;12011806;13699410,05;13647361,94;13837525,89;14370221,58
Cape Verde;0,735;0,425;0,441;;
Cayman Islands;1,494;5,813;22,483;3,468;3,363
Central African Republic;51,646;5,227;;;
Chad;0,269;;;;
Chile;92891,201;223575,469;321897,877;379030,568;415911,645
China;12899700,33;14878198,15;16898187,89;18252702,33;19671092,13
Christmas Island;41,597;;3,844;;
Cocos (Keeling) Islands;110,701;134,536;24,684;1,008;0,255
Colombia;157487,197;175390,18;156621,16;140281,548;162090,9
Congo, Dem. Rep.;16,274;4,397;22,081;57,456;34,446
Congo, Rep.;13,292;6,761;1,313;;
Cook Islands;;29,552;65,106;;
Costa Rica;195811,846;247339,466;254242,273;254960,792;255343,412
Cote d'Ivoire;78480,335;145889,57;105388,922;104515,103;84660,357
Croatia;593,248;957,702;778,894;685,337;847,307
Cura‡ao;;66,434;86,144;38,958;243,127
Cyprus;225,576;3,597;48,182;75,174;103,315
Czech Republic;174831,444;214796,307;235711,248;246930,32;270431,772
Denmark;77437,772;89758,135;94815,827;91658,22;112892,331
Djibouti;;;2,606;;
Dominica;0,622;0,792;1,034;3,347;28,776
Dominican Republic;176090,23;185457,786;203360,79;200478,109;210441,402
East Asia & Pacific;26940158,62;32366857,47;33953328,67;33992553,34;35244918,35
Ecuador;7274,574;10473,479;14933,637;15869,578;22539,184
Egypt, Arab Rep.;4255,944;3450,88;3701,655;3825,02;11937,329
El Salvador;9637,386;15169,634;17263,536;17062,753;17632,461
Equatorial Guinea;0,5;;;;
Eritrea;0,606;8,396;0,588;;
Estonia;1068,814;1703,321;2240,611;2343,805;2905,719
Ethiopia(excludes Eritrea);47,868;11,449;6,01;61,551;114,614
Europe & Central Asia;8422086;9920134,726;10949308,3;11465807,37;12548187,59
Faeroe Islands;2,191;;;0,916;28,164
Falkland Island;0,293;0,734;;;
