Partner Name;2010;2011;2012;2013;2014
Afghanistan;2198,484;2889,763;5858,345;5061,646;3028,586
Albania;6496,931;7559,76;8379,995;13330,717;14681,809
Algeria;243,098;773,613;451,19;466,37;538,254
Andorra;85,689;94,714;103,325;37,423;
Antigua and Barbuda;;23,745;1222,065;178,339;94,604
Argentina;341797,837;466863,349;561668,856;748223,404;533384,591
Armenia;72,348;15,741;71,338;64,971;149,66
Aruba;16,182;136,342;19,94;18,775;48,428
Australia;243045,799;229239,122;258661,675;402050,587;429055,628
Austria;2194,114;3058,765;8025,734;6800,88;13463,161
Azerbaijan;1375,586;361,082;237,033;454,723;94,784
Bahamas, The;287;112;;;
Bangladesh;2111,933;1253,231;2763,885;2178,279;2344,844
Barbados;54,748;77,184;66,231;115,434;82,62
Belarus;13,332;19,815;93,267;26,277;70,049
Belgium;78947,516;98828,315;111430,457;109810,845;107469,129
Belize;12349,899;12689,016;10156,256;11650,713;7694,058
Benin;;108,588;856,848;2655,083;3580,748
Bermuda;;;50,164;43,335;51,898
Bhutan;140,68;72;111,469;145,906;34,265
Bolivia;63432,658;81002,431;87687,172;158392,973;197920,419
Bosnia and Herzegovina;1554,242;1249,43;1973,961;1751,406;1816,751
Brazil;1465503,289;2346599,933;1917226,885;1837938,81;2201056,681
British Virgin Islands;;2,159;;;6,56
Brunei;;;18,478;19,218;
Bulgaria;8293,176;10237,27;11577,543;14179,685;24169,287
Burkina Faso;202,228;863,797;1234,981;3129,94;3326,518
Burundi;3310,051;9513,062;4727,609;4104,098;4272,878
Cambodia;543,317;1651,983;1518,422;1672,444;2170,81
Cameroon;6246,798;11665,224;17337,076;2486,783;4147,04
Canada;5469910,306;7384743,675;7739284,196;8296951,729;8100606,583
Cape Verde;29,681;11,223;3,603;17,846;46,587
Cayman Islands;;;60,819;71,579;23,4
Central African Republic;744,824;741,803;1081,67;264,527;180,927
Chad;5816,104;6876,19;8731,584;11870,077;10241,86
Chile;1823980,907;1858348,614;1865901,76;2302641,243;2162672,997
China;1118101,039;1276211,437;1452531,27;1563371,75;1527185,21
Cocos (Keeling) Islands;;89,67;;;
Colombia;1671058,179;2135355,06;1827716,454;1899270,192;2098493,077
Comoros;1602,167;1774,879;1898,765;2756,583;1978,404
Congo, Dem. Rep.;1825,87;1237,139;3590,475;1790,111;4953,863
Congo, Rep.;89,937;242,989;390,643;105,609;1336,165
Cook Islands;29,851;18,225;199,989;;
Costa Rica;1114272,831;1243031,155;1271071,033;1270591,482;1354101,68
Cote d'Ivoire;15924,863;6246,892;14802,183;19565,177;25465,889
Croatia;2856,22;2631,386;4226,289;3655,899;2369,133
Cura‡ao;;;;;3
Cyprus;143,919;197,415;210,608;285,376;381,963
Czech Republic;4108,416;5210,24;6792,127;11090,732;13007,17
Denmark;47619,649;57102,501;51862,515;61635,043;78910,983
Djibouti;825,339;879,898;1529,793;376,066;1134,065
Dominica;29,124;166,454;133,724;173,953;78,378
Dominican Republic;75690,067;99780,05;117945,767;114012,12;110728,937
East Timor;;;;30,749;120,161
Ecuador;671363,351;727935,463;700694,379;706872,795;712166,234
Egypt, Arab Rep.;32381,071;42482,875;40498,88;44410,555;50445,947
El Salvador;101572,469;235371,098;146702,513;121687,696;76140,091
Equatorial Guinea;;241,737;136,019;;
Eritrea;;18,689;30,16;14,914;13,9
Estonia;159,066;108,246;;108,303;22,632
Ethiopia(excludes Eritrea);100630,775;119867,737;99682,013;106815,208;114803,372
Fiji;3857,57;4291,206;4566,949;4602,129;4445,824
Finland;15036,148;8629,233;10193,466;15355,161;24715,97
Fm Sudan;7998,744;10346,085;;;
France;192394,754;206574,225;224386,52;229559,168;239320,9
French Polynesia;1010,37;582,702;548,463;484,775;652,067
Gabon;18,891;22,72;32,64;2,72;18,573
Gambia, The;6,16;3,961;46,639;26,239;95,397
Georgia;1160,262;242,367;138,248;10,277;560,667
Germany;356273,064;461172,778;438360,369;480955,557;467458,917
Ghana;10146,614;10144,271;12576,611;17828,174;19433,893
Greece;28952,92;29595,815;30794,362;47064,322;43914,014
Grenada;1204,666;967,371;1106,93;943,178;1259,02
Guatemala;1056939,205;1584768,396;1651230,942;1598255,703;1617393,572
Guinea;716,03;2073,891;770,547;1287,951;1114,585
Guinea-Bissau;;160,896;;104,38;
Guyana;86,276;124,454;567,093;369,438;2035,877
Haiti;7989,749;11524,358;10172,377;13573,085;13906,98
Heard Island and McDonald Isla;;;14,459;;
Honduras;321542,448;500322,073;571289,904;472485,746;520448,118
Hong Kong, China;21214,36;24957,186;25483,77;27047,782;28446,289
Hungary;3998,426;4365,409;4692,841;8499,836;7023,372
