Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2010;2011;2012;2013;2014
Slovenia;Afghanistan;Import;Metals;Import (US$ Thousand);0,394;0,205;0,084;;0,015
Slovenia;Albania;Import;Metals;Import (US$ Thousand);100,789;75,974;185,13;167,987;134,449
Slovenia;Algeria;Import;Metals;Import (US$ Thousand);;;;0,077;58,057
Slovenia;American Samoa;Import;Metals;Import (US$ Thousand);;0,018;16,486;15,977;0,125
Slovenia;Andorra;Import;Metals;Import (US$ Thousand);0,633;18,846;19,623;7,127;
Slovenia;Antarctica;Import;Metals;Import (US$ Thousand);;0,56;0,002;;
Slovenia;Argentina;Import;Metals;Import (US$ Thousand);892,6;1025,602;184,819;9,358;18,631
Slovenia;Armenia;Import;Metals;Import (US$ Thousand);663,42;1121,619;384,573;1768,191;2215,848
Slovenia;Aruba;Import;Metals;Import (US$ Thousand);85,267;74,94;46,436;35,625;38,417
Slovenia;Australia;Import;Metals;Import (US$ Thousand);543,872;436,419;411,397;17781,115;5835,351
Slovenia;Austria;Import;Metals;Import (US$ Thousand);419621,492;460511,621;366660,108;383632,8;417565,753
Slovenia;Azerbaijan;Import;Metals;Import (US$ Thousand);;0,153;2,295;5,926;0,426
Slovenia;Bahrain;Import;Metals;Import (US$ Thousand);20,326;561,069;81,56;237,76;2,354
Slovenia;Bangladesh;Import;Metals;Import (US$ Thousand);;11,454;;0,181;26,666
Slovenia;Barbados;Import;Metals;Import (US$ Thousand);166,331;115,678;51,631;9,081;
Slovenia;Belarus;Import;Metals;Import (US$ Thousand);7496,574;4933,254;3792,24;2257,03;2600,377
Slovenia;Belgium;Import;Metals;Import (US$ Thousand);83744,744;109996,112;79262,757;60851,613;50204,563
Slovenia;Benin;Import;Metals;Import (US$ Thousand);;0,181;0,465;;
Slovenia;Bhutan;Import;Metals;Import (US$ Thousand);;0,004;0,211;;
Slovenia;Bolivia;Import;Metals;Import (US$ Thousand);;0,173;;;
Slovenia;Bosnia and Herzegovina;Import;Metals;Import (US$ Thousand);84670,977;118658,062;95854,576;66164,815;76776,369
Slovenia;Botswana;Import;Metals;Import (US$ Thousand);;;;;0,038
Slovenia;Brazil;Import;Metals;Import (US$ Thousand);11767,343;2688,077;3570,014;2011,723;3895,394
Slovenia;British Indian Ocean Ter.;Import;Metals;Import (US$ Thousand);;;;0,022;
