Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2010;2011;2012;2013;2014
Slovenia;Albania;Import;Minerals;Import (US$ Thousand);0,127;;;;5,98
Slovenia;Andorra;Import;Minerals;Import (US$ Thousand);0,207;;;;
Slovenia;Anguila;Import;Minerals;Import (US$ Thousand);13,623;;;;
Slovenia;Argentina;Import;Minerals;Import (US$ Thousand);0,423;15,327;;;
Slovenia;Australia;Import;Minerals;Import (US$ Thousand);5565,63;6463,334;3131,728;5380,069;1245,35
Slovenia;Austria;Import;Minerals;Import (US$ Thousand);24986,588;26254,293;16864,254;21194,452;21343,763
Slovenia;Belarus;Import;Minerals;Import (US$ Thousand);;;11,751;;0,363
Slovenia;Belgium;Import;Minerals;Import (US$ Thousand);1471,773;3296,93;1698,565;2805,867;3873,252
Slovenia;Bosnia and Herzegovina;Import;Minerals;Import (US$ Thousand);2187,713;2806,905;3340,389;4068,291;3630,709
Slovenia;Brazil;Import;Minerals;Import (US$ Thousand);3227,967;5154,332;3494,236;3801,737;3752,63
Slovenia;Bulgaria;Import;Minerals;Import (US$ Thousand);42,506;484,719;180,01;1237,445;966,195
Slovenia;Canada;Import;Minerals;Import (US$ Thousand);2,489;2,511;5,087;10,608;102,695
Slovenia;Chile;Import;Minerals;Import (US$ Thousand);947,461;0,073;15,72;309,919;1875,955
Slovenia;China;Import;Minerals;Import (US$ Thousand);2408,439;1600,044;3132,63;2501,452;2087,297
Slovenia;Croatia;Import;Minerals;Import (US$ Thousand);16319,834;15312,918;14844,238;10701,095;13027,299
Slovenia;Cyprus;Import;Minerals;Import (US$ Thousand);0,1;0,037;0,04;0,048;0,059
Slovenia;Czech Republic;Import;Minerals;Import (US$ Thousand);3192,444;3283,153;2832,366;2743,036;3002,696
Slovenia;Denmark;Import;Minerals;Import (US$ Thousand);33,277;35,499;145,319;208,04;133,189
Slovenia;Dominica;Import;Minerals;Import (US$ Thousand);;;0,277;;
Slovenia;Ecuador;Import;Minerals;Import (US$ Thousand);;0,108;;;
Slovenia;Egypt, Arab Rep.;Import;Minerals;Import (US$ Thousand);1434,969;3333,057;1798,858;3214,467;2155,905
Slovenia;Estonia;Import;Minerals;Import (US$ Thousand);8,338;14,304;4,41;10,583;
Slovenia;Finland;Import;Minerals;Import (US$ Thousand);116,256;144,485;105,262;28,493;44,651
Slovenia;France;Import;Minerals;Import (US$ Thousand);1210,656;1387,596;1310;875,692;1035,881
Slovenia;Germany;Import;Minerals;Import (US$ Thousand);10317,687;9769,41;8087,65;8058,124;8665,81
Slovenia;Greece;Import;Minerals;Import (US$ Thousand);11,417;9,305;57,941;8,343;9,307
Slovenia;Guyana;Import;Minerals;Import (US$ Thousand);;;;2024,071;3463,748
Slovenia;Hong Kong, China;Import;Minerals;Import (US$ Thousand);0,052;0,107;56,952;0,204;0,129
Slovenia;Hungary;Import;Minerals;Import (US$ Thousand);2441,231;7764,314;14187,247;3777,665;2247,708
Slovenia;Iceland;Import;Minerals;Import (US$ Thousand);;;0,008;;
Slovenia;India;Import;Minerals;Import (US$ Thousand);1317,793;1684,634;2161,522;3987,114;3999,777
Slovenia;Indonesia;Import;Minerals;Import (US$ Thousand);2,475;;;;
Slovenia;Iran, Islamic Rep.;Import;Minerals;Import (US$ Thousand);;1,823;;2,64;5,704
Slovenia;Ireland;Import;Minerals;Import (US$ Thousand);;;;0,356;0,348
Slovenia;Israel;Import;Minerals;Import (US$ Thousand);15,08;;7,95;39,391;26,706
Slovenia;Italy;Import;Minerals;Import (US$ Thousand);27467,708;25203,337;20048,573;23960,732;20569,486
Slovenia;Japan;Import;Minerals;Import (US$ Thousand);25,431;78,595;147,554;578,113;385,354
Slovenia;Jordan;Import;Minerals;Import (US$ Thousand);0,071;0,025;;;
Slovenia;Kazakhstan;Import;Minerals;Import (US$ Thousand);;0,547;;;
Slovenia;Kenya;Import;Minerals;Import (US$ Thousand);;8,858;;;
Slovenia;Korea, Rep.;Import;Minerals;Import (US$ Thousand);;;;0,004;0,062
Slovenia;Latvia;Import;Minerals;Import (US$ Thousand);;0,081;;0,019;
Slovenia;Lithuania;Import;Minerals;Import (US$ Thousand);;;;28,508;
Slovenia;Luxembourg;Import;Minerals;Import (US$ Thousand);0,032;0,675;;3,387;
Slovenia;Macao;Import;Minerals;Import (US$ Thousand);;;0,013;;
Slovenia;Macedonia, FYR;Import;Minerals;Import (US$ Thousand);736,08;515,773;525,859;504,559;895,072
Slovenia;Madagascar;Import;Minerals;Import (US$ Thousand);10,928;;9,398;0,146;
Slovenia;Malta;Import;Minerals;Import (US$ Thousand);;0,068;0,007;0,042;21,631
Slovenia;Mexico;Import;Minerals;Import (US$ Thousand);1060,302;516,206;1364,401;545,751;989,678
Slovenia;Mongolia;Import;Minerals;Import (US$ Thousand);;;;;0,692
Slovenia;Montenegro;Import;Minerals;Import (US$ Thousand);24,972;109,186;104,044;64,81;124,609
Slovenia;Morocco;Import;Minerals;Import (US$ Thousand);0,196;;0,089;0,034;0,004
Slovenia;Mozambique;Import;Minerals;Import (US$ Thousand);2947,893;8447,524;7613,824;3982,719;10727,365
Slovenia;Nepal;Import;Minerals;Import (US$ Thousand);11,911;0,037;0,04;0,048;1,16
Slovenia;Netherlands;Import;Minerals;Import (US$ Thousand);7451,743;10232,156;4843,89;6255,006;7807,072
Slovenia;New Zealand;Import;Minerals;Import (US$ Thousand);;;;3,449;
Slovenia;Niger;Import;Minerals;Import (US$ Thousand);;0,02;;;
Slovenia;Nigeria;Import;Minerals;Import (US$ Thousand);;;;0,041;
Slovenia;Norfolk Island;Import;Minerals;Import (US$ Thousand);;7,711;;;
Slovenia;Norway;Import;Minerals;Import (US$ Thousand);17695,128;25325,148;42714,566;40393,003;32189,225
Slovenia;Other Asia, nes;Import;Minerals;Import (US$ Thousand);0,529;0,718;1,325;0,949;1,816
Slovenia;Pakistan;Import;Minerals;Import (US$ Thousand);15,157;21,248;49,744;66,568;69,254
Slovenia;Panama;Import;Minerals;Import (US$ Thousand);;2,043;;;
Slovenia;Peru;Import;Minerals;Import (US$ Thousand);;;0,206;0,219;88,452
Slovenia;Philippines;Import;Minerals;Import (US$ Thousand);;0,094;;;0,09
Slovenia;Pitcairn;Import;Minerals;Import (US$ Thousand);;0,041;;;
Slovenia;Poland;Import;Minerals;Import (US$ Thousand);206,986;386,46;539,572;1077,142;1373,204
Slovenia;Portugal;Import;Minerals;Import (US$ Thousand);0,541;76,177;2,391;336,427;143,811
Slovenia;Romania;Import;Minerals;Import (US$ Thousand);94,262;51,68;9,899;14,79;7,835
Slovenia;Russian Federation;Import;Minerals;Import (US$ Thousand);0,015;82,737;10,384;6,945;7,068
Slovenia;Saint Helena;Import;Minerals;Import (US$ Thousand);;;;;0,003
Slovenia;Sao Tome and Principe;Import;Minerals;Import (US$ Thousand);;;;;0,037
Slovenia;Saudi Arabia;Import;Minerals;Import (US$ Thousand);34,819;;;49,585;
Slovenia;Serbia, FR(Serbia/Montenegro);Import;Minerals;Import (US$ Thousand);2272,38;3683,308;2927,959;3942,107;5132,551
Slovenia;Sierra Leone;Import;Minerals;Import (US$ Thousand);0,019;;;17,956;143,021
