Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2010;2011;2012;2013;2014
Slovenia;Afghanistan;Import;Plastic or Rubber;Import (US$ Thousand);1,57;;0,798;0,023;0,191
Slovenia;Albania;Import;Plastic or Rubber;Import (US$ Thousand);13,907;0,074;0,722;0,046;0,389
Slovenia;Algeria;Import;Plastic or Rubber;Import (US$ Thousand);;;0,725;;0,645
Slovenia;American Samoa;Import;Plastic or Rubber;Import (US$ Thousand);;0,236;;;
Slovenia;Andorra;Import;Plastic or Rubber;Import (US$ Thousand);3,75;3,711;7,124;1,112;0,112
Slovenia;Antarctica;Import;Plastic or Rubber;Import (US$ Thousand);0,712;;;0,007;
Slovenia;Antigua and Barbuda;Import;Plastic or Rubber;Import (US$ Thousand);1,393;0,84;0,786;1,612;
Slovenia;Argentina;Import;Plastic or Rubber;Import (US$ Thousand);6,014;9,183;12,821;15,951;4,368
Slovenia;Aruba;Import;Plastic or Rubber;Import (US$ Thousand);17,244;11,913;3,778;0,628;3,579
Slovenia;Australia;Import;Plastic or Rubber;Import (US$ Thousand);368,465;290,35;391,151;356,849;227,654
Slovenia;Austria;Import;Plastic or Rubber;Import (US$ Thousand);123263,844;145968,686;133693,521;151810,501;149763,629
Slovenia;Azerbaijan;Import;Plastic or Rubber;Import (US$ Thousand);;10,258;;;
Slovenia;Bangladesh;Import;Plastic or Rubber;Import (US$ Thousand);28,77;3,919;10,704;23,625;17,459
Slovenia;Barbados;Import;Plastic or Rubber;Import (US$ Thousand);70,501;60,734;31,144;;
Slovenia;Belarus;Import;Plastic or Rubber;Import (US$ Thousand);3,006;1,112;0,966;1,178;37,871
Slovenia;Belgium;Import;Plastic or Rubber;Import (US$ Thousand);50980,957;58304,828;51982,039;61041,786;68485,376
Slovenia;Belize;Import;Plastic or Rubber;Import (US$ Thousand);;;;;0,235
Slovenia;Bermuda;Import;Plastic or Rubber;Import (US$ Thousand);0,009;2,272;0,04;;0,068
Slovenia;Bolivia;Import;Plastic or Rubber;Import (US$ Thousand);;;;0,122;0,04
Slovenia;Bosnia and Herzegovina;Import;Plastic or Rubber;Import (US$ Thousand);4420,221;8569,103;8614,247;10625,724;8938,785
Slovenia;Botswana;Import;Plastic or Rubber;Import (US$ Thousand);;43,712;;;
Slovenia;Brazil;Import;Plastic or Rubber;Import (US$ Thousand);3422,775;6441,731;7340,266;4833,303;3246,005
Slovenia;British Indian Ocean Ter.;Import;Plastic or Rubber;Import (US$ Thousand);0,589;;;0,036;
Slovenia;British Virgin Islands;Import;Plastic or Rubber;Import (US$ Thousand);19,156;8,04;;;
Slovenia;Bulgaria;Import;Plastic or Rubber;Import (US$ Thousand);490,006;3751,22;1773,314;3306,766;3265,863
Slovenia;Burkina Faso;Import;Plastic or Rubber;Import (US$ Thousand);0,085;1,123;15,671;;
Slovenia;Cambodia;Import;Plastic or Rubber;Import (US$ Thousand);;26,144;2,646;5,686;36,229
Slovenia;Cameroon;Import;Plastic or Rubber;Import (US$ Thousand);9157,156;10331,351;10045,688;7591,296;10235,65
Slovenia;Canada;Import;Plastic or Rubber;Import (US$ Thousand);516,089;733,267;486,546;683,043;768,944
Slovenia;Cayman Islands;Import;Plastic or Rubber;Import (US$ Thousand);;;0,781;0,813;
Slovenia;Central African Republic;Import;Plastic or Rubber;Import (US$ Thousand);6,016;;;;
Slovenia;Chile;Import;Plastic or Rubber;Import (US$ Thousand);79,889;1,604;0,077;7,707;4,13
Slovenia;China;Import;Plastic or Rubber;Import (US$ Thousand);29382,736;40160,123;38816,683;41522,948;55262,623
Slovenia;Colombia;Import;Plastic or Rubber;Import (US$ Thousand);0,138;3,748;4,702;1,749;6,909
Slovenia;Congo, Dem. Rep.;Import;Plastic or Rubber;Import (US$ Thousand);;19,185;;;
Slovenia;Cook Islands;Import;Plastic or Rubber;Import (US$ Thousand);47,755;;;;9,91
