Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2010;2011;2012;2013;2014
Slovenia;Afghanistan;Import;Stone and Glass;Import (US$ Thousand);;;0,045;;0,867
Slovenia;Albania;Import;Stone and Glass;Import (US$ Thousand);;0,062;0,133;;
Slovenia;Algeria;Import;Stone and Glass;Import (US$ Thousand);;;;1,346;
Slovenia;Andorra;Import;Stone and Glass;Import (US$ Thousand);1,697;;;;1,233
Slovenia;Anguila;Import;Stone and Glass;Import (US$ Thousand);16,655;;;;
Slovenia;Antarctica;Import;Stone and Glass;Import (US$ Thousand);;;4,179;;
Slovenia;Argentina;Import;Stone and Glass;Import (US$ Thousand);0,787;150,602;1,069;1,124;1,573
Slovenia;Armenia;Import;Stone and Glass;Import (US$ Thousand);;1,304;0,772;6,415;0,226
Slovenia;Aruba;Import;Stone and Glass;Import (US$ Thousand);;0,001;;0,001;
Slovenia;Australia;Import;Stone and Glass;Import (US$ Thousand);119,189;417,16;151,986;139,46;154,552
Slovenia;Austria;Import;Stone and Glass;Import (US$ Thousand);70466,383;83284,278;66816,953;82614,087;60183,129
Slovenia;Bahrain;Import;Stone and Glass;Import (US$ Thousand);8,061;41,482;14,044;1,449;22,102
Slovenia;Bangladesh;Import;Stone and Glass;Import (US$ Thousand);16,802;7,71;14,941;12,748;34,189
Slovenia;Barbados;Import;Stone and Glass;Import (US$ Thousand);;;0,349;;
Slovenia;Belarus;Import;Stone and Glass;Import (US$ Thousand);0,645;2,665;0,475;;
Slovenia;Belgium;Import;Stone and Glass;Import (US$ Thousand);4043,274;6616,912;5393,274;5963,855;4119,001
Slovenia;Bermuda;Import;Stone and Glass;Import (US$ Thousand);;3,515;;0,132;
Slovenia;Bosnia and Herzegovina;Import;Stone and Glass;Import (US$ Thousand);1469,415;2678,019;3582,2;2810,902;2885,37
Slovenia;Brazil;Import;Stone and Glass;Import (US$ Thousand);357,761;182,857;93,84;51,897;22,996
Slovenia;British Indian Ocean Ter.;Import;Stone and Glass;Import (US$ Thousand);0,275;;;;
Slovenia;British Virgin Islands;Import;Stone and Glass;Import (US$ Thousand);50,293;31,319;;;43,727
Slovenia;Bulgaria;Import;Stone and Glass;Import (US$ Thousand);1657,75;1416,956;1275,682;1376,992;1381,915
Slovenia;Burkina Faso;Import;Stone and Glass;Import (US$ Thousand);0,349;0,034;;;2,861
Slovenia;Cambodia;Import;Stone and Glass;Import (US$ Thousand);;;0,523;;
Slovenia;Cameroon;Import;Stone and Glass;Import (US$ Thousand);;;4,858;0,003;
Slovenia;Canada;Import;Stone and Glass;Import (US$ Thousand);322,507;171,727;117,172;239,857;43,063
Slovenia;Chile;Import;Stone and Glass;Import (US$ Thousand);0,531;;0,162;;1,326
Slovenia;China;Import;Stone and Glass;Import (US$ Thousand);28921,245;26906,688;27538,594;25492,947;31069,074
Slovenia;Colombia;Import;Stone and Glass;Import (US$ Thousand);0,406;0,093;0,199;6,112;7,573
Slovenia;Congo, Rep.;Import;Stone and Glass;Import (US$ Thousand);;231,584;;;
Slovenia;Costa Rica;Import;Stone and Glass;Import (US$ Thousand);;;0,129;0,224;1,605
Slovenia;Cote d'Ivoire;Import;Stone and Glass;Import (US$ Thousand);;;0,074;;
Slovenia;Croatia;Import;Stone and Glass;Import (US$ Thousand);41850,558;49648,969;40951,733;37849,879;43991,257
Slovenia;Cura‡ao;Import;Stone and Glass;Import (US$ Thousand);;;0,034;;
Slovenia;Cyprus;Import;Stone and Glass;Import (US$ Thousand);;0,78;538,444;489,37;4,48
Slovenia;Czech Republic;Import;Stone and Glass;Import (US$ Thousand);17316,455;17652,08;17373,678;19505,484;20331,312
Slovenia;Denmark;Import;Stone and Glass;Import (US$ Thousand);195,008;196,454;239,466;673,786;188,768
Slovenia;Dominica;Import;Stone and Glass;Import (US$ Thousand);;;;;0,339
Slovenia;Dominican Republic;Import;Stone and Glass;Import (US$ Thousand);;;;;2,074
Slovenia;Ecuador;Import;Stone and Glass;Import (US$ Thousand);0,876;2,116;1,428;0,759;
Slovenia;Egypt, Arab Rep.;Import;Stone and Glass;Import (US$ Thousand);63,935;59,494;78,146;112,668;236,588
Slovenia;Estonia;Import;Stone and Glass;Import (US$ Thousand);4,432;1,955;1,174;15,666;2,794
Slovenia;Ethiopia(excludes Eritrea);Import;Stone and Glass;Import (US$ Thousand);;;;;0,371
Slovenia;Finland;Import;Stone and Glass;Import (US$ Thousand);1250,205;1158,511;2124,549;2638,514;2443,328
Slovenia;Fm Sudan;Import;Stone and Glass;Import (US$ Thousand);21;;;;
Slovenia;France;Import;Stone and Glass;Import (US$ Thousand);26935,215;25692,705;19489,156;18497,995;15522,287
