Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2010;2011;2012;2013;2014
Slovenia;Afghanistan;Import;Textiles and Clothing;Import (US$ Thousand);;10,604;10,894;22,216;0,001
Slovenia;Albania;Import;Textiles and Clothing;Import (US$ Thousand);185,027;264,347;348,118;322,505;411,926
Slovenia;Algeria;Import;Textiles and Clothing;Import (US$ Thousand);;;;;3,558
Slovenia;American Samoa;Import;Textiles and Clothing;Import (US$ Thousand);12,047;1,429;;;
Slovenia;Andorra;Import;Textiles and Clothing;Import (US$ Thousand);1,577;5,578;0,131;0,493;0,151
Slovenia;Argentina;Import;Textiles and Clothing;Import (US$ Thousand);56,396;30,668;28,211;18,552;21,489
Slovenia;Armenia;Import;Textiles and Clothing;Import (US$ Thousand);103,65;94,038;274,015;208,506;18,865
Slovenia;Aruba;Import;Textiles and Clothing;Import (US$ Thousand);;;0,001;;
Slovenia;Australia;Import;Textiles and Clothing;Import (US$ Thousand);129,848;186,555;129,719;154,077;46,706
Slovenia;Austria;Import;Textiles and Clothing;Import (US$ Thousand);36181,78;44874,109;39683,343;53719,889;75000,857
Slovenia;Azerbaijan;Import;Textiles and Clothing;Import (US$ Thousand);;;;;1,401
Slovenia;Bahamas, The;Import;Textiles and Clothing;Import (US$ Thousand);;0,945;;;
Slovenia;Bahrain;Import;Textiles and Clothing;Import (US$ Thousand);70,83;112,057;0,669;;5,201
Slovenia;Bangladesh;Import;Textiles and Clothing;Import (US$ Thousand);44954,739;63914,825;55717,344;71370,056;92137,008
Slovenia;Barbados;Import;Textiles and Clothing;Import (US$ Thousand);;;0,721;;
Slovenia;Belarus;Import;Textiles and Clothing;Import (US$ Thousand);3521,86;4794,293;6629,175;7714,84;9443,473
Slovenia;Belgium;Import;Textiles and Clothing;Import (US$ Thousand);19839,356;20432,129;18804,377;19013,019;18549,485
Slovenia;Belize;Import;Textiles and Clothing;Import (US$ Thousand);;3,718;;2,686;10,391
Slovenia;Benin;Import;Textiles and Clothing;Import (US$ Thousand);108,676;262,393;94,749;;
Slovenia;Bermuda;Import;Textiles and Clothing;Import (US$ Thousand);;0,167;;;
Slovenia;Bolivia;Import;Textiles and Clothing;Import (US$ Thousand);19,125;42,391;37,327;39,015;8,173
