Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2010;2011;2012;2013;2014
Slovenia;Afghanistan;Import;Vegetable;Import (US$ Thousand);16,9;15,011;11,082;17,169;18,435
Slovenia;Albania;Import;Vegetable;Import (US$ Thousand);600,571;546,072;234,383;620,194;153,63
Slovenia;Algeria;Import;Vegetable;Import (US$ Thousand);14,187;36,497;45,555;401,635;133,844
Slovenia;Andorra;Import;Vegetable;Import (US$ Thousand);0,062;;0,157;0,851;0,535
Slovenia;Angola;Import;Vegetable;Import (US$ Thousand);;;0,099;;
Slovenia;Antigua and Barbuda;Import;Vegetable;Import (US$ Thousand);1,71;0,985;2,725;4,653;
Slovenia;Argentina;Import;Vegetable;Import (US$ Thousand);5462,062;5040;3461,492;3875,988;4153,593
Slovenia;Australia;Import;Vegetable;Import (US$ Thousand);167,581;122,15;129,067;151,295;156,589
Slovenia;Austria;Import;Vegetable;Import (US$ Thousand);67405,146;86711,568;72622,198;101174,754;87891,936
Slovenia;Azerbaijan;Import;Vegetable;Import (US$ Thousand);5,536;6,454;2,89;2,217;1,838
Slovenia;Bahamas, The;Import;Vegetable;Import (US$ Thousand);0,158;;0,24;;
Slovenia;Bangladesh;Import;Vegetable;Import (US$ Thousand);0,154;0,097;0,19;;0,82
Slovenia;Barbados;Import;Vegetable;Import (US$ Thousand);;;0,093;;
Slovenia;Belarus;Import;Vegetable;Import (US$ Thousand);;17,762;0,026;159,698;3,15
Slovenia;Belgium;Import;Vegetable;Import (US$ Thousand);10815,024;14186,226;12039,042;12117,24;9246,207
Slovenia;Belize;Import;Vegetable;Import (US$ Thousand);9,999;0,372;0,11;1,064;0,084
Slovenia;Benin;Import;Vegetable;Import (US$ Thousand);0,119;0,077;;1,028;0,456
Slovenia;Bermuda;Import;Vegetable;Import (US$ Thousand);0,236;;;;
Slovenia;Bhutan;Import;Vegetable;Import (US$ Thousand);;0,014;;;
Slovenia;Bolivia;Import;Vegetable;Import (US$ Thousand);100,626;352,361;270,863;598,297;374,601
Slovenia;Bosnia and Herzegovina;Import;Vegetable;Import (US$ Thousand);10464,447;10491,334;9952,185;9952,431;8393,125
Slovenia;Brazil;Import;Vegetable;Import (US$ Thousand);35052,843;54780,626;18801,949;13484,677;15153,469
Slovenia;British Indian Ocean Ter.;Import;Vegetable;Import (US$ Thousand);0,109;0,464;0,383;0,624;
Slovenia;Brunei;Import;Vegetable;Import (US$ Thousand);0,084;;;;0,012
Slovenia;Bulgaria;Import;Vegetable;Import (US$ Thousand);637,283;945,514;1039,497;1496,786;1408,239
Slovenia;Burkina Faso;Import;Vegetable;Import (US$ Thousand);9,889;4,985;1,616;46,545;15,217
Slovenia;Cambodia;Import;Vegetable;Import (US$ Thousand);;0,678;1,431;;25,126
Slovenia;Cameroon;Import;Vegetable;Import (US$ Thousand);411,319;64,038;158,705;554,569;698,647
Slovenia;Canada;Import;Vegetable;Import (US$ Thousand);1236,161;1515,213;1236,182;1830,993;1719,728
Slovenia;Central African Republic;Import;Vegetable;Import (US$ Thousand);19,072;1,356;3,799;3,006;2,236
Slovenia;Chad;Import;Vegetable;Import (US$ Thousand);;;0,751;;
Slovenia;Chile;Import;Vegetable;Import (US$ Thousand);4139,511;4286,811;3600,295;3591,471;3295,372
Slovenia;China;Import;Vegetable;Import (US$ Thousand);9376,524;10649,134;6180,527;4948,378;5181,623
Slovenia;Colombia;Import;Vegetable;Import (US$ Thousand);7726,325;6021,201;5817,388;3360,985;7497,955
Slovenia;Comoros;Import;Vegetable;Import (US$ Thousand);1,109;10,489;26,287;0,792;1,47
Slovenia;Congo, Dem. Rep.;Import;Vegetable;Import (US$ Thousand);0,015;0,777;0,139;0,295;0,395
Slovenia;Congo, Rep.;Import;Vegetable;Import (US$ Thousand);;11,297;20,882;29,953;
Slovenia;Costa Rica;Import;Vegetable;Import (US$ Thousand);4134,85;8362,528;7830,14;6575,726;3786,639
Slovenia;Cote d'Ivoire;Import;Vegetable;Import (US$ Thousand);252,57;137,822;46,55;64,558;58,991
Slovenia;Croatia;Import;Vegetable;Import (US$ Thousand);18034,237;17833,415;22678,343;38015,489;45757,784
Slovenia;Cuba;Import;Vegetable;Import (US$ Thousand);0,054;0,014;;1,043;1,547
Slovenia;Cyprus;Import;Vegetable;Import (US$ Thousand);312,366;629,868;218,636;571,837;427,149
Slovenia;Czech Republic;Import;Vegetable;Import (US$ Thousand);10714,27;9032,455;8919,906;8622,292;16556,753
Slovenia;Denmark;Import;Vegetable;Import (US$ Thousand);1653,998;1528,197;1005,652;1040,642;1351,388
Slovenia;Dominica;Import;Vegetable;Import (US$ Thousand);0,414;0,312;0,103;1,607;0,611
Slovenia;Dominican Republic;Import;Vegetable;Import (US$ Thousand);683,81;498,527;338,072;167,661;299,257
Slovenia;East Timor;Import;Vegetable;Import (US$ Thousand);0,118;0,011;0,321;;
Slovenia;Ecuador;Import;Vegetable;Import (US$ Thousand);27878,276;36207,048;18797,165;27797,519;38329,837
Slovenia;Egypt, Arab Rep.;Import;Vegetable;Import (US$ Thousand);1708,618;1845,409;2139,297;2311,433;2949,904
Slovenia;El Salvador;Import;Vegetable;Import (US$ Thousand);;;5,592;0,809;3,811
Slovenia;Estonia;Import;Vegetable;Import (US$ Thousand);7,842;0,086;0,211;8,482;1,094
Slovenia;Ethiopia(excludes Eritrea);Import;Vegetable;Import (US$ Thousand);531,333;736,448;945,658;602,547;647,607
Slovenia;Faeroe Islands;Import;Vegetable;Import (US$ Thousand);;;;0,041;
Slovenia;Falkland Island;Import;Vegetable;Import (US$ Thousand);0,029;;;;
Slovenia;Fiji;Import;Vegetable;Import (US$ Thousand);8,937;5,208;6,733;16,207;7,702
Slovenia;Finland;Import;Vegetable;Import (US$ Thousand);448,653;310,077;930,183;358,695;76,431
Slovenia;Fm Sudan;Import;Vegetable;Import (US$ Thousand);96,902;8,77;;;
Slovenia;Fr. So. Ant. Tr;Import;Vegetable;Import (US$ Thousand);;0,114;;;
Slovenia;France;Import;Vegetable;Import (US$ Thousand);13097,987;15846,334;13051,906;16357,239;18488,764
Slovenia;French Polynesia;Import;Vegetable;Import (US$ Thousand);0,403;0,03;0,641;0,607;0,671
Slovenia;Gabon;Import;Vegetable;Import (US$ Thousand);;;;55,347;
Slovenia;Gambia, The;Import;Vegetable;Import (US$ Thousand);;;;0,05;21,951
Slovenia;Georgia;Import;Vegetable;Import (US$ Thousand);0,035;34,073;147,054;87,084;437,979
Slovenia;Germany;Import;Vegetable;Import (US$ Thousand);31474,507;33407,765;28263,441;37901,569;42230,854
Slovenia;Ghana;Import;Vegetable;Import (US$ Thousand);75,377;100,032;63,039;46,038;21,659
Slovenia;Greece;Import;Vegetable;Import (US$ Thousand);10996,959;9446,776;7629,223;9903,476;8401,267
